t_s,continuo_estable_mPa,fluctuante_mPa,intermitente_mPa,impulsivo_mPa
0,0.39130081959,0.293475614693,0.39130081959,0.0704341475262
0.001,-0.624735954483,-0.468869917668,-0.624735954483,-0.112452471807
0.002,0.452068615211,0.339511610819,0.452068615211,0.081372350738
0.003,0.8897144365,0.668644253252,0.8897144365,0.16014859857
0.004,0.294057137753,0.221141478691,0.294057137753,0.0529302847956
0.005,-0.0318908282156,-0.0239992730024,-0.0318908282156,-0.0057403490788
0.006,0.291523384425,0.219532735473,0.291523384425,0.0524742091965
0.007,1.36292368927,1.02704822192,1.36292368927,0.245326264068
0.008,-1.47234859489,-1.11025603769,-1.47234859489,-0.26502274708
0.009,1.65196919194,1.24654351251,1.65196919194,0.29735445455
0.01,-0.510430191268,-0.385420361328,-0.510430191268,-0.0918774344282
0.011,-0.274900597684,-0.207714389559,-0.274900597684,-0.0494821075832
0.012,-0.507260976246,-0.383543609783,-0.507260976246,-0.0913069757243
0.013,-0.72921886274,-0.551738626792,-0.72921886274,-0.131259395293
0.014,-0.2456471991,-0.185985594946,-0.2456471991,-0.0442164958381
0.015,0.442865418692,0.335529767526,0.442865418692,0.0797157753645
0.016,0.379049719567,0.287373726185,0.379049719567,0.068228949522
0.017,0.367260716324,0.278622861427,0.367260716324,0.0661069289383
0.018,-0.174544789038,-0.132507465933,-0.174544789038,-0.0314180620269
0.019,0.826136318356,0.627590215287,0.826136318356,0.148704537304
0.02,-1.07295223629,-0.815634569456,-1.07295223629,-0.193131402531
0.021,0.420811686431,0.320105850314,0.420811686431,0.0757461035576
0.022,0.254242587755,0.193528308871,0.254242587755,0.045763665796
0.023,0.754588225973,0.574773061883,0.754588225973,0.135825880675
0.024,1.1405957073,0.86937689002,1.1405957073,0.205307227313
0.025,-2.22628798104,-1.69803827614,-2.22628798104,-0.400731836588
0.026,-0.142944290142,-0.109099439377,-0.142944290142,-0.0257299722255
0.027,-0.246821621949,-0.188507345823,-0.246821621949,-0.0444278919508
0.028,-0.888406053637,-0.67896244544,-0.888406053637,-0.159913089655
0.029,-1.96090939098,-1.49961831305,-1.96090939098,-0.352963690377
0.03,0.903130402415,0.691134278002,0.903130402415,0.162563472435
0.031,1.04994956199,0.804023914467,1.04994956199,0.188990921157
0.032,0.590211279728,0.452268552125,0.590211279728,0.106238030351
0.033,0.146783432298,0.112552222987,0.146783432298,0.0264210178136
0.034,-0.421256946161,-0.323230298199,-0.421256946161,-0.075826250309
0.035,0.0965639736666,0.0741426087678,0.0965639736666,0.01738151526
0.036,0.0232819078696,0.0178878787808,0.0232819078696,0.00419074341653
0.037,-3.12738662187,-2.40441367988,-3.12738662187,-0.562929591937
0.038,0.76545774236,0.588892430593,0.76545774236,0.137782393625
0.039,1.11405560722,0.857646960617,1.11405560722,0.2005300093
0.04,-0.267020933638,-0.205699730376,-0.267020933638,-0.0480637680549
