t_s,t_ms,seno_Pa,compleja_Pa
0.0,0.0,0.0,0.13216550671465296
4.998750312421895e-06,0.0049987503124218945,0.0017766973136032122,0.13490238682144437
9.99750062484379e-06,0.009997500624843789,0.0035533245212958976,0.13761347431053642
1.4996250937265684e-05,0.014996250937265684,0.005329811519933808,0.14029847750407315
1.999500124968758e-05,0.019995001249687578,0.007106088211905143,0.14295711048522444
2.4993751562109475e-05,0.024993751562109475,0.008882084507896498,0.14558909314805127
2.9992501874531368e-05,0.02999250187453137,0.010657730329658485,0.14819415124599858
3.4991252186953263e-05,0.034991252186953266,0.012432955612770934,0.15077201643900628
3.999000249937516e-05,0.039990002499375156,0.014207690309407514,0.15332242633922794
4.4988752811797055e-05,0.04498875281179705,0.015981864391099727,0.15584512455534805
4.998750312421895e-05,0.04998750312421895,0.017755407851500135,0.1583398607354878
5.4986253436640846e-05,0.05498625343664085,0.019528250709144716,0.16080639060869167
5.9985003749062735e-05,0.05998500374906274,0.021300323010214187,0.16324447602498493
6.498375406148464e-05,0.06498375406148464,0.02307155483129436,0.16565388499399514
6.998250437390653e-05,0.06998250437390653,0.024841876282135144,0.16803439172212867
7.498125468632843e-05,0.07498125468632844,0.026611217508408346,0.17038577664829532
7.998000499875032e-05,0.07998000499875031,0.02837950869446403,0.17270782647817412
8.497875531117221e-05,0.0849787553111722,0.03014668006608532,0.17500033421701267
8.997750562359411e-05,0.0899775056235941,0.03191266189324161,0.17726309920095415
9.4976255936016e-05,0.094976255936016,0.03367738449283998,0.17949592712688625
9.99750062484379e-05,0.0999750062484379,0.03544077823147486,0.18169863008080492
0.00010497375656085979,0.10497375656085979,0.03720277352817555,0.1838710265646894
0.00010997250687328169,0.1099725068732817,0.03896330085715191,0.18601294152188194
0.00011497125718570358,0.11497125718570358,0.040722290750537626,0.1881242063609683
0.00011997000749812547,0.11997000749812547,0.04247967380113143,0.19020465897815483
0.00012496875781054737,0.12496875781054738,0.044235380665135715,0.19225414377813765
0.00012996750812296928,0.12996750812296928,0.04598934206489278,0.1942725116934606
0.00013496625843539115,0.13496625843539115,0.04774148879161845,0.1962596202023593
0.00013996500874781305,0.13996500874781306,0.04949175170813288,0.1982153333450874
0.00014496375906023496,0.14496375906023495,0.05124006175158871,0.20013952173872332
0.00014996250937265686,0.14996250937265687,0.05298634993619609,0.2020320625904556
0.00015496125968507873,0.15496125968507873,0.05473054735594479,0.20389283970934363
0.00015996000999750064,0.15996000999750062,0.056472585187323225,0.20572174351655467
0.00016495876030992254,0.16495876030992254,0.05821239469203394,0.20751867105407393
0.00016995751062234441,0.1699575106223444,0.0599499072197061,0.20928352599188846
0.00017495626093476632,0.17495626093476632,0.06168505421060425,0.21101621863364425
0.00017995501124718822,0.1799550112471882,0.06341776719833361,0.21271666592077604
0.00018495376155961012,0.18495376155961013,0.06514797781254163,0.2143847914351113
0.000189952511872032,0.189952511872032,0.0668756177816158,0.21602052539994834
0.0001949512621844539,0.1949512621844539,0.06860061893537761,0.21762380467961012
0.0001999500124968758,0.1999500124968758,0.07032291320777233,0.21919457277747534
0.00020494876280929768,0.2049487628092977,0.0720424326395549,0.22073277983248876
0.00020994751312171958,0.20994751312171958,0.07375910938097141,0.22223838261415238
0.00021494626343414148,0.21494626343414147,0.07547287569443652,0.22371134451600133
0.00021994501374656339,0.2199450137465634,0.07718366395720602,0.22515163554756662
0.00022494376405898526,0.22494376405898525,0.0788914066640454,0.22655923232482797
0.00022994251437140716,0.22994251437140717,0.08059603642989333,0.22793411805916095
0.00023494126468382907,0.23494126468382906,0.08229748599252068,0.22927628254478302
0.00023994001499625094,0.23994001499625095,0.08399568821518451,0.23058572214470133
0.00024493876530867287,0.24493876530867287,0.08569057608927724,0.23186243977516843
0.00024993751562109475,0.24993751562109476,0.08738208273697069,0.23310644488865076
0.0002549362659335166,0.25493626593351665,0.089070141413855,0.2343177534553155
0.00025993501624593855,0.25993501624593857,0.09075468551157229,0.23549638794304095
0.00026493376655836043,0.26493376655836043,0.09243564856044482,0.23664237729595783
0.0002699325168707823,0.2699325168707823,0.09411296423209795,0.23775575691152714
0.00027493126718320423,0.2749312671832042,0.09578656634207722,0.23883656861616187
