"asset_id","unit","slide_id","type","title","description","pedagogical_purpose","source_url","creator","organization","license","access_date","local_path","status","credit_text","notes"
"U04-EXT-001","04","U04-012","external_image","¿Cómo el cuerpo humano produce la voz y el habla?","Infografía en español sobre pulmones, laringe, pliegues vocales y tracto vocal.","Referencia anatómica opcional para distinguir fuente y medio.","https://www.nidcd.nih.gov/es/news/multimedia/how-does-human-body-produce-voice-speech","NIDCD","NIH/NIDCD","Dominio público; crédito solicitado","2026-07-31","units/unit_04/assets/external/u04_img_001_produccion_voz_nidcd.jpg","downloaded","Fuente: NIDCD/NIH.","Usar solo panel o recorte pertinente; el diagrama funcional propio sigue siendo principal."
"U04-MED-000","04","U04-013","video_or_gif","Reflex loudspeaker animation","GIF de bocina plegada y diafragma de compresión.","Evaluado para mostrar movimiento del diafragma.","https://commons.wikimedia.org/wiki/File:Reflex_loudspeaker_animation.gif","Chetvorno","Wikimedia Commons","CC0 1.0","2026-07-31","units/unit_04/assets/external/u04_media_001_altavoz_reflex.gif","rejected","Chetvorno, CC0, vía Wikimedia Commons.","Rechazado: el mecanismo no coincide con el cono convencional del storyboard."
"U04-EXT-003","04","U04-042;U04-104","external_image","Sound level meter Brüel & Kjær Type 2232","Fotografía frontal de un sonómetro de precisión.","Reconocer un instrumento real y separar sensor, ajustes y lectura.","https://commons.wikimedia.org/wiki/File:Sound_level_meter_Bruel_Kjaer.jpg","Harke","Wikimedia Commons","Dominio público, PD-self","2026-07-31","units/unit_04/assets/external/u04_img_002_sonometro_bk2232.jpg","approved","Foto: Harke, dominio público, vía Wikimedia Commons.","Recorte vertical; no usar la lectura 49,3 dB como dato del curso."
"U04-EXT-004","04","U04-088","external_image","Acoustic Anechoic Chamber","Fotografía de la cámara anecoica acústica de NIST.","Mostrar un entorno real diseñado para aproximar campo libre.","https://www.nist.gov/image/acoustic-anechoic-chamber","NIST","National Institute of Standards and Technology","Información pública NIST; crédito solicitado","2026-07-31","units/unit_04/assets/external/u04_img_003_camara_anecoica_nist.png","approved","Crédito: NIST.","No afirmar que toda cámara es perfectamente libre; acompañar con condiciones."
"U04-MED-001","04","U04-013","video_or_gif","Sound wave animation","GIF de datos, corriente, fuerza electromagnética, diafragma y onda.","Hacer visible el movimiento del diafragma y la secuencia electroacústica.","https://commons.wikimedia.org/wiki/File:Sound_wave_animation.gif","KyleThayer","Wikimedia Commons","CC0 1.0","2026-07-31","units/unit_04/assets/external/u04_media_002_altavoz_onda_sonora.gif","shortlisted","KyleThayer, CC0, vía Wikimedia Commons.","Requiere frame estático y guía oral; revisar que los arcos no se lean como desplazamiento transversal."
"U04-DATA-001","04","U04-102","dataset","Sound-source directivity dataset for four loudspeakers","Mediciones de directividad de cuatro fuentes en cámara anecoica.","Generar patrones polares propios a varias frecuencias con datos reales.","https://zenodo.org/records/10255555","Anthony Gallien; Karolina Prawda; Sebastian J. Schlecht","Aalto University / ENSEA / Zenodo","CC BY 4.0","2026-07-31","","proposed","Gallien, Prawda y Schlecht, DOI 10.5281/zenodo.10255555, CC BY 4.0.","No descargar archivos de 400+ MB hasta aprobar fuente y frecuencias."
"U04-REF-001","04","U04-102","reference","SM58 User Guide","Guía técnica con especificaciones y patrón polar típico.","Referencia comparativa de documento técnico de fabricante.","https://www.shure.com/en-US/docs/guide/SM58","Shure Incorporated","Shure","Copyright; sin licencia de reutilización explícita","2026-07-31","","proposed","© Shure Incorporated.","Solo referencia/enlace; no capturar ni insertar sin permiso. Alternativa: U04-DATA-001."
"U04-MED-002","04","U04-072;U04-073;U04-075","video_or_gif","Animación propia de suma coherente","Desfase variable y suma temporal.","Relacionar fase con refuerzo, caso intermedio y cancelación.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/u04_media_003_suma_coherente.mp4","proposed","Producción propia UCASAL.","Derivar frames del script CH-008; MP4 y GIF corto."
"U04-MED-003","04","U04-072;U04-074;U04-075","audio","Audio A/B/suma coherente","Tonos breves en fase y oposición.","Oír el resultado sin depender de cancelación espacial en aula.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/u04_media_004_audio_fase.wav","proposed","Producción propia UCASAL.","440 Hz; 48 kHz/24 bit; nivel seguro; parámetros en README."
"U04-MED-004","04","U04-076;U04-079","audio","Audio de suma no correlacionada","Dos señales controladas y suma.","Contrastar suma cuadrática con el caso coherente.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/u04_media_005_audio_no_correlacionado.wav","proposed","Producción propia UCASAL.","Semilla y RMS documentados."
"U04-MED-005","04","U04-095;U04-097","video","Demostración de distancia","Registro propio de medición a varias distancias.","Contrastar modelo de campo libre con una sala real.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/u04_media_006_distancia.mp4","proposed","Producción propia UCASAL.","No grabar hasta aprobar protocolo, equipo y seguridad."
"U04-CH-001","04","U04-025;U04-026","chart","Presión total y acústica","Dos paneles temporales con escalas explícitas.","Diferenciar p0, presión total y variación acústica.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-001/u04_fig_001_presion_total_acustica.svg","approved","Basado en libro del curso, TEX 4.5.1.","Script u04_plot_001_presion_total_acustica.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-002","04","U04-036","chart","Presión, velocidad e intensidad","Tres curvas normalizadas coordinadas.","Leer fase y producto instantáneo.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-002/u04_fig_002_presion_velocidad_intensidad.svg","approved","Basado en libro del curso, figura 4.2.","Script u04_plot_002_presion_velocidad_intensidad.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-003","04","U04-044;U04-045;U04-046;U04-047;U04-049;U04-050","chart","Descriptores temporales","Familia de una señal con marcadores progresivos.","Distinguir instante, extremos, pico a pico y media.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-003/u04_fig_003_6_media.svg","approved","Basado en libro del curso, TEX 4.6.","Script u04_plot_003_descriptores_temporales.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-004","04","U04-048","chart","Media cero","Seno y señal nula con igual media.","Corregir media cero igual a ausencia de señal.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-004/u04_fig_004_media_cero.svg","approved","Basado en libro del curso, TEX 4.6.4.","Script u04_plot_004_media_cero.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-005","04","U04-053;U04-054;U04-055;U04-056","chart","Construcción RMS","Señal, cuadrado, media y raíz.","Hacer visible el algoritmo RMS.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-005/u04_fig_005_construccion_rms.svg","approved","Basado en libro del curso, figura 4.3.","Script u04_plot_005_construccion_rms.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-006","04","U04-057;U04-109","chart","Igual RMS, distinta forma","Dos señales sintéticas con RMS igual.","Separar tamaño eficaz y contenido frecuencial.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-006/u04_fig_006_igual_rms.svg","approved","Basado en TEX 4.6.6 y elaboración didáctica.","Script u04_plot_006_igual_rms_forma_distinta.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-007","04","U04-064","chart","Presión y nivel","Escalas alineadas Pa–dB SPL.","Visualizar compresión logarítmica y referencia.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-007/u04_fig_007_presion_nivel_horizontal.svg","approved","Basado en libro del curso, figura 4.4.","Script u04_plot_007_presion_nivel.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-008","04","U04-070;U04-072;U04-073;U04-074;U04-075;U04-122","chart","Suma coherente y fase","Familia de señales y resultantes para tres fases.","Relacionar fase y presión resultante.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-008/u04_fig_008_resumen_fases.svg","approved","Basado en libro del curso, figura 4.5.","Script u04_plot_008_suma_coherente.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-009","04","U04-076;U04-077;U04-078;U04-079;U04-080","chart","Suma no correlacionada","Señales con semilla fija, suma y métricas.","Mostrar suma cuadrática y +3,01 dB.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-009/u04_fig_009_zoom_25ms.svg","approved","Basado en libro del curso, TEX 4.8.2.","Script u04_plot_009_suma_no_correlacionada.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-010","04","U04-084;U04-086;U04-117","chart","Geometrías y decaimiento","Curvas normalizadas plana, cilíndrica y esférica.","Comparar crecimiento de área y caída.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-010/u04_fig_010_geometrias_loglog.svg","approved","Basado en libro del curso, TEX 4.9.","Script u04_plot_010_geometrias_decaimiento.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-011","04","U04-095;U04-096;U04-097","chart","Nivel y distancia","Curva de cambio de nivel por distancia relativa.","Fijar la regla esférica de duplicación.","","Equipo docente","UCASAL","Producción propia","","units/unit_04/assets/generated/charts/U04-CH-011/u04_fig_011_nivel_distancia.svg","approved","Basado en libro del curso, TEX 4.10.","Script u04_plot_011_nivel_distancia.py. SVG/PNG, datos, README y validación disponibles en la carpeta del recurso."
"U04-CH-012","04","U04-102","chart","Patrones polares con datos abiertos","Tres patrones a frecuencias seleccionadas.","Mostrar dependencia frecuencial real.","https://zenodo.org/records/10255555","Gallien; Prawda; Schlecht","Aalto University / ENSEA","CC BY 4.0","2026-07-31","","pending_approval","Datos: Gallien et al., DOI 10.5281/zenodo.10255555, CC BY 4.0.","No generado: los archivos útiles del dataset pesan 326–466 MB y el plan exige autorización previa. No se sustituyó por datos fabricados."
