t_sobre_T,p_A,p_B,p_suma
0.0,0.0,1.0,1.0
0.0016666666666666668,0.010471784116245794,0.9999451693655121,1.010416953481758
0.0033333333333333335,0.02094241988335696,0.9997806834748455,1.0207231033582025
0.005,0.03141075907812829,0.9995065603657316,1.03091731944386
0.006666666666666667,0.04187565372919963,0.9991228300988584,1.040998483828058
0.008333333333333333,0.05233595624294383,0.9986295347545738,1.0509654909975177
0.01,0.06279051952931337,0.9980267284282716,1.060817247957585
0.011666666666666667,0.07323819712763169,0.9973144772244581,1.07055267435209
0.013333333333333334,0.0836778433323155,0.9964928592495044,1.08017070258182
0.015000000000000001,0.09410831331851433,0.99556196460308,1.0896702779215943
0.016666666666666666,0.10452846326765346,0.9945218953682734,1.0990503586359268
0.018333333333333333,0.1149371504928666,0.9933727656003964,1.108309916093263
0.02,0.12533323356430426,0.9921147013144779,1.1174479348787822
0.021666666666666667,0.13571557243430438,0.9907478404714436,1.126463412905748
0.023333333333333334,0.14608302856241162,0.9892723329629883,1.1353553615254
0.025,0.15643446504023087,0.9876883405951378,1.1441228056353687
0.02666666666666667,0.16676874671610228,0.985996037070505,1.1527647837866073
0.028333333333333335,0.1770847403195833,0.984195607969242,1.1612803482888252
0.030000000000000002,0.18738131458572463,0.9822872507286887,1.1696685653144134
0.03166666666666667,0.19765734037912616,0.9802711746217219,1.177928515000848
0.03333333333333333,0.20791169081775931,0.9781476007338057,1.186059291551565
0.035,0.21814324139654256,0.9759167619387474,1.19406000333529
0.03666666666666667,0.22835087011065572,0.9735789028731603,1.201929772983816
0.03833333333333334,0.2385334575785809,0.9711342799096361,1.209667737488217
0.04,0.2486898871648548,0.9685831611286312,1.217273048293486
0.04166666666666667,0.2588190451025208,0.9659258262890683,1.2247448713915892
0.043333333333333335,0.2689198206152657,0.9631625667976582,1.2320823874129239
0.045000000000000005,0.2789911060392293,0.9602936856769431,1.2392847917161722
0.04666666666666667,0.2890317969444716,0.9573194975320672,1.246351294476539
0.04833333333333334,0.2990407922560867,0.9542403285162769,1.2532811207723635
0.05,0.3090169943749474,0.9510565162951536,1.260073510670101
0.05166666666666667,0.31895930929807,0.9477684100095857,1.2667277193076556
0.05333333333333334,0.32886664673858323,0.9443763702374811,1.2732430169760645
0.055,0.33873792024529137,0.9408807689542255,1.2796186891995167
0.05666666666666667,0.3485720473218152,0.9372819894918916,1.2858540368137068
0.058333333333333334,0.35836794954530027,0.9335804264972017,1.2919483760425021
0.060000000000000005,0.368124552684678,0.9297764858882515,1.2979010385729295
0.06166666666666667,0.3778407868184671,0.9258705848099948,1.303711371628462
0.06333333333333334,0.387515586452103,0.9218631515885005,1.3093787380406035
0.065,0.3971478906347806,0.9177546256839813,1.314902516318762
0.06666666666666667,0.40673664307580015,0.913545457642601,1.3202821007184011
0.06833333333333334,0.4162807922604012,0.9092361090470686,1.32551690130747
