t_s,signal_sine,signal_harmonic
0.0,0.0,0.0
0.00025,0.15643446504023087,0.3289576177567087
0.0005,0.3090169943749474,0.6137912404852786
0.00075,0.4539904997395468,0.8193161070474257
0.001,0.5877852522924731,0.9262940124211929
0.00125,0.7071067811865476,0.9349975263177835
0.0015,0.8090169943749475,0.8645696544084328
0.00175,0.8910065241883678,0.7483328318893587
0.002,0.9510565162951535,0.6260825844508426
0.00225,0.9876883405951378,0.5350566334030079
0.0025,1.0,0.5015568278463085
0.00275,0.9876883405951378,0.5350566334030077
0.003,0.9510565162951535,0.6260825844508425
0.00325,0.8910065241883679,0.7483328318893586
0.0035,0.8090169943749475,0.8645696544084327
0.00375,0.7071067811865476,0.9349975263177833
0.004,0.5877852522924732,0.9262940124211929
0.00425,0.45399049973954647,0.8193161070474253
0.0045,0.3090169943749475,0.6137912404852787
0.00475,0.15643446504023098,0.32895761775670923
0.005,1.2246467991473532e-16,2.6244371181078766e-16
0.00525,-0.15643446504023117,-0.3289576177567091
0.0055,-0.3090169943749473,-0.6137912404852783
0.00575,-0.45399049973954664,-0.8193161070474255
0.006,-0.5877852522924734,-0.9262940124211934
0.00625,-0.7071067811865477,-0.9349975263177833
0.0065,-0.8090169943749473,-0.8645696544084328
0.00675,-0.8910065241883678,-0.7483328318893593
0.007,-0.9510565162951535,-0.6260825844508427
0.00725,-0.9876883405951377,-0.5350566334030077
0.0075,-1.0,-0.5015568278463085
0.00775,-0.9876883405951378,-0.5350566334030075
0.008,-0.9510565162951536,-0.6260825844508425
0.00825,-0.8910065241883676,-0.7483328318893585
0.0085,-0.809016994374947,-0.8645696544084328
0.00875,-0.707106781186547,-0.934997526317783
0.009,-0.5877852522924734,-0.9262940124211931
0.00925,-0.45399049973954697,-0.8193161070474259
0.0095,-0.3090169943749477,-0.6137912404852793
0.00975,-0.1564344650402311,-0.3289576177567088
0.01,-2.4492935982947064e-16,-5.248874236215753e-16
0.01025,0.1564344650402315,0.3289576177567087
0.0105,0.309016994374948,0.6137912404852793
0.01075,0.4539904997395465,0.8193161070474252
0.011,0.5877852522924729,0.9262940124211929
0.01125,0.7071067811865474,0.9349975263177838
0.0115,0.8090169943749472,0.8645696544084337
0.01175,0.8910065241883678,0.7483328318893586
0.012,0.9510565162951538,0.6260825844508431
0.01225,0.9876883405951378,0.5350566334030081
0.0125,1.0,0.5015568278463085
0.01275,0.9876883405951379,0.5350566334030072
0.013,0.9510565162951536,0.6260825844508425
0.01325,0.8910065241883676,0.7483328318893577
0.0135,0.8090169943749476,0.8645696544084318
0.01375,0.7071067811865471,0.934997526317783
0.014,0.5877852522924734,0.9262940124211929
0.01425,0.4539904997395463,0.8193161070474253
0.0145,0.3090169943749478,0.6137912404852787
0.01475,0.1564344650402321,0.3289576177567111
0.015,3.6739403974420594e-16,7.873311354323629e-16
0.01525,-0.15643446504023137,-0.3289576177567084
0.0155,-0.30901699437494706,-0.6137912404852774
0.01575,-0.45399049973954725,-0.8193161070474261
0.016,-0.5877852522924728,-0.9262940124211929
0.01625,-0.7071067811865479,-0.9349975263177843
0.0165,-0.8090169943749482,-0.8645696544084333
0.01675,-0.8910065241883681,-0.7483328318893591
0.017,-0.951056516295154,-0.6260825844508423
