t_s,p_A_mPa,p_B_mPa
0,-0.76447963836,1.83647465198
0.0005,-2.0001295743,-0.700642894276
0.001,0.619095317454,-1.05670268563
0.0015,0.759088491886,-0.37397117192
0.002,-0.287420336797,-1.12357225059
0.0025,0.3847879936,1.53341564959
0.003,1.71833881385,0.905995633116
0.0035,1.07334786164,0.664077009828
0.004,0.722692862492,1.43520378658
0.0045,0.702944243409,-0.573110272101
0.005,-0.837374095909,-1.28487689492
0.0055,0.9772529105,0.373933099122
0.006,-1.61670471844,0.33620171971
0.0065,-0.309666502974,-0.826929606242
0.007,-0.414122671374,0.5624382146
0.0075,-1.69619302955,1.49731810984
0.008,-0.0894857577821,-0.50518440013
0.0085,1.65187418365,0.221762207721
0.009,-0.317645057686,0.371109452577
0.0095,-1.17897084193,0.512481041573
0.01,-0.0703373169861,1.04879408965
0.0105,0.867941026886,0.614995930125
0.011,0.211919090974,1.42500697488
0.0115,0.0174240331225,-0.78173316237
0.012,-1.37916032529,-0.444075291968
0.0125,0.517534498769,0.845898387757
0.013,0.50235820802,-0.414432278249
0.0135,1.35182776687,-0.531694276482
0.014,1.49856705623,-0.0180638852172
0.0145,0.703771925019,0.379104461224
0.015,-1.61070164832,-0.469599386638
0.0155,-1.40514602061,0.619663792033
0.016,-1.07012317359,1.4129389901
0.0165,0.312904853458,-1.75456543825
0.017,-0.761593846189,-2.25609576486
0.0175,1.32032417079,0.779230545088
0.018,0.262197229592,-0.767820016012
0.0185,0.382252123504,1.48160443199
0.019,0.765258013811,2.89265180883
0.0195,0.357906467175,-0.114190154487
0.02,-1.38049554142,-0.355693959181
0.0205,2.45461637932,0.0204158398271
0.021,1.47268747903,0.308519666249
0.0215,1.53240086668,-0.0179511204912
0.022,-0.722112291587,-0.875131660438
0.0225,-1.81432856343,0.441034979047
0.023,-1.47588214575,-1.98885698156
0.0235,-1.02592353601,0.420134720513
0.024,0.895956137207,0.127709631341
0.0245,0.914007189947,1.33372033166
0.025,1.46812407245,0.190475928188
0.0255,2.14733129655,0.512029219951
0.026,0.537285335899,-0.917625636627
0.0265,0.372118907968,0.201586966051
0.027,-0.340357873508,0.803236375408
0.0275,-0.314006396415,1.04691144242
0.028,-1.12950442082,0.145911109677
0.0285,0.527249513912,1.61047432002
0.029,0.335986125904,1.30100523374
0.0295,-0.382254666083,-0.623721297948
0.03,-0.784767790743,-2.43677479018
0.0305,0.473782591181,-1.06861996022
0.031,1.31697052094,0.0956102089429
0.0315,0.100991165704,0.186452862896
0.032,0.301828032698,-0.265727017653
0.0325,-0.524209206357,-0.392120429186
0.033,-0.226693004848,0.675644510491
0.0335,-0.294187445876,-0.560005755736
0.034,-0.262986647219,-2.09693603321
0.0345,-0.572939591615,-0.282537286881
0.035,0.413643955439,1.04395012012
0.0355,1.31058534351,-0.822269564817
0.036,-0.920389396335,0.666104742286
0.0365,1.40935750902,0.601781819946
0.037,-0.380074391846,0.01109834081
0.0375,-0.34441535241,0.435585033335
0.038,-2.12110616119,-0.888843686039
0.0385,-2.38423711037,0.0875661718118
0.039,0.750359333661,1.52544936013
0.0395,-1.06327701411,-0.0486296974332
0.04,0.819669706708,-1.07338813707
0.0405,0.0703377985885,1.48902440588
0.041,0.268768193896,-1.33210181301
0.0415,1.34392277108,1.67710561316
0.042,-0.0517712459272,0.122409861292
0.0425,-3.2228827615,0.64453875706
0.043,-1.70622805119,0.380713498103
0.0435,0.985807137508,0.0476995572526
0.044,2.00259509202,1.10423933602
0.0445,-0.0751999485505,-0.0496171256619
0.045,-0.67714970599,-0.78886374658
0.0455,-1.36227392705,0.0721358447662
0.046,0.562253368079,-1.71495743761
0.0465,-1.76506950851,-0.115578402247
0.047,-1.21690771394,-1.74174966208
0.0475,0.155040148388,0.0515772642352
0.048,0.121282515815,0.755774377389
0.0485,-0.236908511139,0.672808994325
0.049,1.07591886271,-0.109340241638
0.0495,-1.21452448245,-2.66247045088
0.05,-1.16231539639,-0.441115590224
0.0505,-0.39532133987,1.3100056796
0.051,0.0847503177887,-0.582982584672
0.0515,-0.315300440905,0.581002090146
0.052,1.99863654522,-0.620161535703
0.0525,-0.579522734807,1.62218407345
0.053,0.650910797636,-2.05636687177
0.0535,-0.56217025562,-0.472419902783
0.054,0.338497912583,-0.335741333414
0.0545,-0.419679028979,0.553043387376
0.055,-0.370169105082,0.0737770303839
0.0555,1.63222009239,0.200642829623
0.056,-0.314568433368,-2.2445748381
0.0565,1.72503431634,2.02130886782
0.057,-0.714213644093,0.234630597836
0.0575,-0.445401319158,-0.597608464357
0.058,1.12164892668,1.41880644023
0.0585,-2.44201160417,-1.08017181895
0.059,-1.64191673974,0.383497729782
0.0595,0.0379140103065,1.03667215509
0.06,0.493592274819,0.810962755104
0.0605,0.588883741192,0.285276812197
0.061,-0.303649368283,-0.0466171439269
0.0615,-1.4149704195,-0.963369433829
0.062,0.84859507392,0.379121588644
0.0625,0.463249795216,-1.23713411682
0.063,-1.11319083539,1.10478624832
0.0635,0.105619765991,0.90804085755
0.064,1.82840609066,0.0649367614627
0.0645,0.143035942993,-1.86352005355
0.065,-1.17445557799,0.698084748687
0.0655,-0.409903472386,0.691635364896
0.066,-0.351660533012,-1.02678144133
0.0665,0.361408345441,-0.358168132675
0.067,0.927297433956,0.204555896186
0.0675,-0.923373684706,0.759519472843
0.068,-0.638347325051,-0.312943853121
0.0685,1.04347615862,-0.769546264088
0.069,0.762190051524,-0.459632916859
0.0695,1.38318016423,-0.91829446388
0.07,-1.45544086238,1.81709364004
