t_ms,p_ac_Pa
0.0,0.2
0.004,0.19998420884076323
0.008,0.19993683785666
0.012,0.19985789452811786
0.016,0.1997473913212035
0.02,0.19960534568565433
0.024,0.1994317800521228
0.028,0.19922672182863452
0.032,0.19899020339626006
0.036000000000000004,0.19872226210400168
0.04,0.1984229402628956
0.044,0.19809228513933025
0.048,0.19773034894758282
0.052000000000000005,0.1973371888415736
0.056,0.1969128669058411
0.06,0.19645745014573776
0.064,0.1959710104768494
0.068,0.1954536247136387
0.07200000000000001,0.19490537455731544
0.076,0.1943263465829348
0.08,0.19371663222572622
0.084,0.1930763277666548
0.088,0.1924055343172172
0.092,0.19170435780347517
0.096,0.1909729089493286
0.1,0.1902113032590307
0.10400000000000001,0.18941966099894886
0.108,0.18859810717857292
0.112,0.18774677153077482
0.116,0.1868657884913224
0.12,0.1859552971776503
0.124,0.18501544136689163
0.128,0.1840463694731741
0.132,0.1830482345241835
0.136,0.18202119413699913
0.14,0.18096541049320392
0.14400000000000002,0.17988105031327423
0.148,0.17876828483025275
0.152,0.17762728976270892
0.156,0.17645824528699067
0.16,0.17526133600877272
0.164,0.17403675093390514
0.168,0.17278468343856707
0.17200000000000001,0.17150533123873046
0.176,0.1701988963589384
0.18,0.16886558510040306
0.184,0.16750560800842837
0.188,0.16611917983916255
0.192,0.1647065195256855
0.196,0.1632678501434368
0.2,0.1618033988749895
0.20400000000000001,0.16031339697417535
0.20800000000000002,0.15879807972956705
0.212,0.15725768642732382
0.216,0.1556924603134047
0.22,0.15410264855515787
0.224,0.1524885022022896
0.228,0.1508502761472208
0.232,0.14918822908483642
0.23600000000000002,0.1475026234716348
0.24,0.14579372548428232
0.244,0.1440618049775814
0.248,0.14230713544185708
0.252,0.14052999395976987
0.256,0.138730661162561
0.26,0.13690942118573776
0.264,0.13506656162420488
0.268,0.13320237348685032
0.272,0.13131715115059128
0.276,0.12941119231388887
0.28,0.12748479794973797
0.28400000000000003,0.1255382722581401
0.28800000000000003,0.12357192261806688
0.292,0.1215860595389211
0.296,0.11958099661150381
0.3,0.11755705045849466
0.304,0.11551454068445353
0.308,0.11345378982535133
0.312,0.11137512329763762
0.316,0.10927886934685382
0.32,0.10716535899579932
0.324,0.10503492599225915
0.328,0.10288790675630133
0.332,0.10072464032715214
0.336,0.09854546830965832
0.34,0.09635073482034306
0.34400000000000003,0.0941407864330665
0.34800000000000003,0.09191597212429758
0.352,0.0896766432180065
0.356,0.0874231533301866
0.36,0.08515585831301457
0.364,0.08287511619865685
0.368,0.08058128714273255
0.372,0.07827473336744051
0.376,0.07595581910436028
0.38,0.07362491053693558
0.384,0.07128237574265016
0.388,0.06892858463490344
0.392,0.06656390890459733
0.396,0.06418872196144193
0.4,0.06180339887498949
0.404,0.059408316315406974
0.40800000000000003,0.057003852493995234
0.41200000000000003,0.05459038710346508
0.41600000000000004,0.05216830125797936
0.42,0.049737977432970995
0.424,0.047299799404745
0.428,0.044854152189876234
0.432,0.04240142198441095
0.436,0.03994199610288145
0.44,0.03747626291714495
0.444,0.03500461179505521
0.448,0.03252743303897675
0.452,0.030045117824151413
0.456,0.02755805813692764
0.46,0.025066646712860897
0.464,0.02257127697469632
0.468,0.020072342970242983
0.47200000000000003,0.017570239310148665
0.47600000000000003,0.015065361105586551
0.48,0.012558103905862705
0.484,0.010048863635953965
0.488,0.007538036533986939
0.492,0.005026019088667507
0.496,0.002513207976670555
0.5,1.2246467991473533e-17
0.504,-0.002513207976670486
0.508,-0.005026019088667438
0.512,-0.007538036533986915
0.516,-0.010048863635953895
0.52,-0.012558103905862636
0.524,-0.015065361105586525
0.528,-0.01757023931014864
0.532,-0.02007234297024296
0.536,-0.02257127697469634
0.54,-0.02506664671286083
0.544,-0.02755805813692761
0.548,-0.03004511782415143
0.552,-0.03252743303897672
0.556,-0.035004611795055186
0.56,-0.03747626291714492
0.5640000000000001,-0.039941996102881426
0.5680000000000001,-0.04240142198441092
0.5720000000000001,-0.044854152189876255
0.5760000000000001,-0.047299799404744935
0.58,-0.049737977432970884
0.584,-0.05216830125797933
0.588,-0.05459038710346501
0.592,-0.05700385249399517
0.596,-0.05940831631540695
0.6,-0.061803398874989424
0.604,-0.06418872196144186
0.608,-0.06656390890459732
0.612,-0.06892858463490338
0.616,-0.07128237574265009
0.62,-0.07362491053693555
0.624,-0.07595581910436021
0.628,-0.07827473336744045
0.632,-0.08058128714273252
0.636,-0.08287511619865678
0.64,-0.08515585831301455
0.644,-0.08742315333018655
0.648,-0.08967664321800643
0.652,-0.09191597212429757
0.656,-0.09414078643306645
0.66,-0.09635073482034301
0.664,-0.09854546830965838
0.668,-0.10072464032715217
0.672,-0.10288790675630131
0.676,-0.10503492599225916
0.68,-0.10716535899579929
0.684,-0.10927886934685381
0.6880000000000001,-0.11137512329763762
0.6920000000000001,-0.11345378982535126
0.6960000000000001,-0.11551454068445349
0.7000000000000001,-0.11755705045849468
0.704,-0.1195809966115037
0.708,-0.12158605953892104
0.712,-0.12357192261806685
0.716,-0.12553827225814002
0.72,-0.12748479794973788
0.724,-0.1294111923138888
0.728,-0.13131715115059125
0.732,-0.13320237348685032
0.736,-0.13506656162420488
0.74,-0.13690942118573768
0.744,-0.13873066116256094
0.748,-0.1405299939597698
0.752,-0.142307135441857
0.756,-0.14406180497758134
0.76,-0.14579372548428235
0.764,-0.14750262347163476
0.768,-0.14918822908483642
0.772,-0.1508502761472208
0.776,-0.15248850220228954
0.78,-0.15410264855515785
0.784,-0.15569246031340467
0.788,-0.15725768642732374
0.792,-0.15879807972956705
0.796,-0.16031339697417535
0.8,-0.16180339887498948
0.804,-0.1632678501434368
0.808,-0.1647065195256855
0.812,-0.16611917983916252
0.8160000000000001,-0.16750560800842834
0.8200000000000001,-0.16886558510040303
0.8240000000000001,-0.17019889635893837
0.8280000000000001,-0.17150533123873046
0.8320000000000001,-0.17278468343856712
0.836,-0.1740367509339051
0.84,-0.1752613360087727
0.844,-0.17645824528699064
0.848,-0.17762728976270886
0.852,-0.17876828483025273
0.856,-0.17988105031327423
0.86,-0.1809654104932039
0.864,-0.18202119413699913
0.868,-0.1830482345241835
0.872,-0.18404636947317404
0.876,-0.1850154413668916
0.88,-0.18595529717765027
0.884,-0.1868657884913224
0.888,-0.18774677153077482
0.892,-0.18859810717857292
0.896,-0.18941966099894886
0.9,-0.1902113032590307
0.904,-0.1909729089493286
0.908,-0.19170435780347517
0.912,-0.1924055343172172
0.916,-0.1930763277666548
0.92,-0.19371663222572622
0.924,-0.1943263465829348
0.928,-0.19490537455731546
0.932,-0.1954536247136387
0.936,-0.1959710104768494
0.9400000000000001,-0.19645745014573776
0.9440000000000001,-0.1969128669058411
0.9480000000000001,-0.1973371888415736
0.9520000000000001,-0.1977303489475828
0.9560000000000001,-0.19809228513933025
0.96,-0.19842294026289556
0.964,-0.19872226210400168
0.968,-0.19899020339626003
0.972,-0.1992267218286345
0.976,-0.1994317800521228
0.98,-0.19960534568565433
0.984,-0.1997473913212035
0.988,-0.19985789452811786
0.992,-0.19993683785666
0.996,-0.19998420884076323
1.0,-0.2
1.004,-0.19998420884076323
1.008,-0.19993683785666
1.012,-0.19985789452811786
1.016,-0.19974739132120353
1.02,-0.19960534568565433
1.024,-0.1994317800521228
1.028,-0.19922672182863452
1.032,-0.19899020339626006
1.036,-0.19872226210400168
1.04,-0.1984229402628956
1.044,-0.19809228513933028
1.048,-0.19773034894758282
1.052,-0.1973371888415736
1.056,-0.1969128669058411
1.06,-0.19645745014573773
1.064,-0.1959710104768494
1.068,-0.1954536247136387
1.072,-0.19490537455731544
1.076,-0.1943263465829348
1.08,-0.19371663222572624
1.084,-0.1930763277666548
1.088,-0.1924055343172172
1.092,-0.19170435780347517
1.096,-0.1909729089493286
1.1,-0.19021130325903074
1.104,-0.18941966099894889
1.108,-0.1885981071785729
1.112,-0.18774677153077485
1.116,-0.18686578849132243
1.12,-0.1859552971776503
1.124,-0.18501544136689163
1.1280000000000001,-0.18404636947317407
1.1320000000000001,-0.1830482345241835
1.1360000000000001,-0.18202119413699913
1.1400000000000001,-0.18096541049320392
1.1440000000000001,-0.1798810503132742
1.1480000000000001,-0.17876828483025278
1.1520000000000001,-0.17762728976270892
1.156,-0.17645824528699072
1.16,-0.1752613360087728
1.164,-0.17403675093390522
1.168,-0.17278468343856712
1.172,-0.17150533123873057
1.176,-0.17019889635893842
1.18,-0.16886558510040306
1.184,-0.1675056080084284
1.188,-0.16611917983916258
1.192,-0.16470651952568555
1.196,-0.1632678501434369
1.2,-0.16180339887498957
1.204,-0.16031339697417538
1.208,-0.15879807972956714
1.212,-0.15725768642732382
1.216,-0.15569246031340472
1.22,-0.15410264855515793
1.224,-0.15248850220228963
1.228,-0.1508502761472208
1.232,-0.1491882290848365
1.236,-0.14750262347163487
1.24,-0.14579372548428238
1.244,-0.14406180497758142
1.248,-0.1423071354418571
1.252,-0.14052999395976987
1.256,-0.13873066116256105
1.26,-0.1369094211857378
1.264,-0.1350665616242049
1.268,-0.1332023734868504
1.272,-0.13131715115059137
1.276,-0.12941119231388884
1.28,-0.1274847979497379
1.284,-0.12553827225814018
1.288,-0.12357192261806696
1.292,-0.12158605953892115
1.296,-0.11958099661150381
1.3,-0.11755705045849466
1.304,-0.11551454068445353
1.308,-0.11345378982535129
1.312,-0.11137512329763773
1.316,-0.10927886934685378
1.32,-0.10716535899579943
1.324,-0.10503492599225922
1.328,-0.1028879067563012
1.332,-0.10072464032715221
1.336,-0.09854546830965832
1.34,-0.09635073482034306
1.344,-0.0941407864330665
1.348,-0.0919159721242977
1.352,-0.08967664321800639
1.356,-0.08742315333018667
1.36,-0.08515585831301459
1.364,-0.08287511619865671
1.368,-0.08058128714273256
1.372,-0.0782747333674405
1.3760000000000001,-0.07595581910436022
1.3800000000000001,-0.07362491053693557
1.3840000000000001,-0.07128237574265026
1.3880000000000001,-0.06892858463490334
1.3920000000000001,-0.0665639089045974
1.3960000000000001,-0.06418872196144196
1.4000000000000001,-0.06180339887498935
1.4040000000000001,-0.059408316315406995
1.408,-0.057003852493995394
1.412,-0.05459038710346519
1.416,-0.05216830125797951
1.42,-0.049737977432971064
1.424,-0.04729979940474502
1.428,-0.044854152189876303
1.432,-0.042401421984411145
1.436,-0.039941996102881426
1.44,-0.0374762629171451
1.444,-0.03500461179505537
1.448,-0.03252743303897686
1.452,-0.030045117824151524
1.456,-0.027558058136927705
1.46,-0.02506664671286092
1.464,-0.022571276974696387
1.468,-0.020072342970243184
1.472,-0.01757023931014864
1.476,-0.015065361105586709
1.48,-0.01255810390586282
1.484,-0.010048863635953857
1.488,-0.007538036533987009
1.492,-0.0050260190886675755
1.496,-0.0025132079766705794
1.5,-3.6739403974420595e-17
1.504,0.0025132079766703288
1.508,0.005026019088667502
1.512,0.007538036533986757
1.516,0.010048863635953783
1.52,0.012558103905862745
1.524,0.015065361105586459
1.528,0.01757023931014857
1.532,0.020072342970242935
1.536,0.022571276974696314
1.54,0.02506664671286067
1.544,0.027558058136927632
1.548,0.030045117824151275
1.552,0.03252743303897661
1.556,0.03500461179505529
1.56,0.037476262917144856
1.564,0.03994199610288135
