t_ms,x_µm,ξ_µm,p_ac_Pa,V_V
0.0,10.0,2.0,0.2,0.5
0.004,9.99921044203816,1.9998420884076322,0.19998420884076323,0.49996052210190806
0.008,9.996841892833,1.9993683785665999,0.19993683785666,0.49984209464164997
0.012,9.992894726405892,1.9985789452811784,0.19985789452811786,0.4996447363202946
0.016,9.987369566060174,1.997473913212035,0.1997473913212035,0.49936847830300873
0.02,9.980267284282716,1.9960534568565431,0.19960534568565433,0.4990133642141358
0.024,9.97158900260614,1.9943178005212279,0.1994317800521228,0.49857945013030697
0.028,9.961336091431725,1.992267218286345,0.19922672182863452,0.49806680457158625
0.032,9.949510169813001,1.9899020339626003,0.19899020339626006,0.4974755084906501
0.036000000000000004,9.936113105200084,1.9872226210400168,0.19872226210400168,0.4968056552600042
0.04,9.921147013144779,1.9842294026289558,0.1984229402628956,0.49605735065723894
0.044,9.904614256966513,1.9809228513933024,0.19809228513933025,0.4952307128483256
0.048,9.886517447379141,1.9773034894758281,0.19773034894758282,0.49432587236895703
0.052000000000000005,9.866859442078681,1.973371888415736,0.1973371888415736,0.493342972103934
0.056,9.845643345292054,1.9691286690584107,0.1969128669058411,0.49228216726460267
0.06,9.822872507286887,1.9645745014573774,0.19645745014573776,0.49114362536434436
0.064,9.798550523842469,1.9597101047684937,0.1959710104768494,0.48992752619212343
0.068,9.772681235681935,1.954536247136387,0.1954536247136387,0.48863406178409674
0.07200000000000001,9.74526872786577,1.9490537455731543,0.19490537455731544,0.48726343639328856
0.076,9.71631732914674,1.943263465829348,0.1943263465829348,0.485815866457337
0.08,9.68583161128631,1.9371663222572622,0.19371663222572622,0.48429158056431554
0.084,9.65381638833274,1.9307632776665478,0.1930763277666548,0.48269081941663694
0.088,9.620276715860859,1.9240553431721719,0.1924055343172172,0.48101383579304297
0.092,9.585217890173759,1.9170435780347517,0.19170435780347517,0.4792608945086879
0.096,9.548645447466429,1.909729089493286,0.1909729089493286,0.4774322723733215
0.1,9.510565162951535,1.902113032590307,0.1902113032590307,0.47552825814757677
0.10400000000000001,9.470983049947442,1.8941966099894885,0.18941966099894886,0.4735491524973721
0.108,9.429905358928645,1.885981071785729,0.18859810717857292,0.47149526794643226
0.112,9.38733857653874,1.8774677153077481,0.18774677153077482,0.46936692882693704
