exceedance_percent,level_descending_dB
0,73.7564477269
0.0166666666667,70.9165584733
0.0333333333333,70.6663632369
0.05,70.4224050049
0.0666666666667,70.340412145
0.0833333333333,69.6354911769
0.1,69.5684231053
0.116666666667,69.5484221963
0.133333333333,69.295657368
0.15,69.2673574561
0.166666666667,68.9116439585
0.183333333333,68.7599884757
0.2,68.6292005245
0.216666666667,68.5604593284
0.233333333333,68.5070570182
0.25,68.4662638711
0.266666666667,68.3841724709
0.283333333333,68.2267509558
0.3,68.1554169993
0.316666666667,68.088844562
0.333333333333,67.9670328449
0.35,67.9246678256
0.366666666667,67.8372166149
0.383333333333,67.6072788521
0.4,67.5048622033
0.416666666667,67.4970320798
0.433333333333,67.3608205886
0.45,67.3601104561
0.466666666667,67.2950504696
0.483333333333,67.161779799
0.5,66.9773815982
0.516666666667,66.9744170386
0.533333333333,66.9620970952
0.55,66.9563062147
0.566666666667,66.9546290337
0.583333333333,66.830338442
0.6,66.7661381795
0.616666666667,66.5938375542
0.633333333333,66.4192967313
0.65,66.3614217861
0.666666666667,66.3535221968
0.683333333333,66.2388508286
0.7,66.2275199904
0.716666666667,66.2196512478
0.733333333333,66.2163940753
0.75,66.1217993584
0.766666666667,66.0476133478
0.783333333333,66.0179059406
0.8,65.9768110534
0.816666666667,65.9708151084
0.833333333333,65.8840544025
0.85,65.7662177841
0.866666666667,65.7373421718
0.883333333333,65.7168247579
0.9,65.6553098459
0.916666666667,65.6448049849
0.933333333333,65.6435221264
0.95,65.6168542914
0.966666666667,65.5730593068
0.983333333333,65.5519990777
1,65.5481407448
1.01666666667,65.5300641369
1.03333333333,65.4822430214
1.05,65.4446257353
1.06666666667,65.4189075834
1.08333333333,65.4169658054
1.1,65.4164143919
1.11666666667,65.4149894203
1.13333333333,65.3952703188
1.15,65.3772335001
1.16666666667,65.3465522074
1.18333333333,65.3313327962
1.2,65.2935540247
1.21666666667,65.2648371131
1.23333333333,65.2143303258
1.25,65.173543238
1.26666666667,65.1658667258
1.28333333333,65.1560836646
1.3,65.1207039926
1.31666666667,65.1064993027
1.33333333333,65.0463901126
1.35,65.0443778988
1.36666666667,65.0228159023
1.38333333333,65.0111755841
1.4,64.9975083042
1.41666666667,64.9629612207
1.43333333333,64.9028320993
1.45,64.9022330492
1.46666666667,64.8900376856
1.48333333333,64.8771075097
1.5,64.8047530398
1.51666666667,64.780230436
1.53333333333,64.7797163397
1.55,64.7531232799
1.56666666667,64.7305100394
1.58333333333,64.6852323696
1.6,64.6656362797
1.61666666667,64.6478327139
1.63333333333,64.6470797824
1.65,64.6192086903
1.66666666667,64.6058245917
1.68333333333,64.6038069002
1.7,64.6005533045
1.71666666667,64.5957709897
1.73333333333,64.5859052759
1.75,64.5788920559
1.76666666667,64.5464764103
1.78333333333,64.541000387
1.8,64.5048411443
1.81666666667,64.4965442852
1.83333333333,64.4596475474
1.85,64.4064146931
1.86666666667,64.381405082
1.88333333333,64.364621857
1.9,64.3614382047
1.91666666667,64.3601561743
1.93333333333,64.3506947059
1.95,64.3286813286
1.96666666667,64.3252778583
