f_Hz,Spp_Pa2_per_Hz
0,
5,
10,
15,
20,
25,
30,
35,
40,
45,
50,
55,
60,
65,
70,
75,
80,
85,
90,
95,
100,
105,
110,
115,
120,
125,1e-12
130,1e-12
135,1e-12
140,1e-12
145,1e-12
150,1e-12
155,1e-12
160,1e-12
165,1e-12
170,1e-12
175,1e-12
180,1e-12
185,1e-12
190,1e-12
195,1e-12
200,1e-12
205,1e-12
210,1e-12
215,1e-12
220,1e-12
225,1e-12
230,1e-12
235,1e-12
240,1e-12
245,1e-12
250,1e-12
255,1e-12
260,1e-12
265,1e-12
270,1e-12
275,1e-12
280,1e-12
285,1e-12
290,1e-12
295,1e-12
300,1e-12
305,1e-12
310,1e-12
315,1e-12
320,1e-12
325,1e-12
330,1e-12
335,1e-12
340,1e-12
345,1e-12
350,1e-12
355,1e-12
360,1e-12
365,1e-12
370,1e-12
375,1e-12
380,1e-12
385,1e-12
390,1e-12
395,1e-12
400,1e-12
405,1e-12
410,1e-12
415,1e-12
420,1e-12
425,1e-12
430,1e-12
435,1e-12
440,1e-12
445,1e-12
450,1e-12
455,1e-12
460,1e-12
465,1e-12
470,1e-12
475,1e-12
480,1e-12
485,1e-12
490,1e-12
495,1e-12
500,1e-12
505,1e-12
510,1e-12
515,1e-12
520,1e-12
525,1e-12
530,1e-12
535,1e-12
540,1e-12
545,1e-12
550,1e-12
555,1e-12
560,1e-12
565,1e-12
570,1e-12
575,1e-12
580,1e-12
585,1e-12
590,1e-12
595,1e-12
600,1e-12
605,1e-12
610,1e-12
615,1e-12
620,1e-12
625,1e-12
630,1e-12
635,1e-12
640,1e-12
645,1e-12
650,1e-12
655,1e-12
660,1e-12
665,1e-12
670,1e-12
675,1e-12
680,1e-12
685,1e-12
690,1e-12
695,1e-12
700,1e-12
705,1e-12
710,1e-12
715,1e-12
720,1e-12
725,1e-12
730,1e-12
735,1e-12
740,1e-12
745,1e-12
750,1e-12
755,1e-12
760,1e-12
765,1e-12
770,1e-12
775,1e-12
780,1e-12
785,1e-12
790,1e-12
795,1e-12
800,1e-12
805,1e-12
810,1e-12
815,1e-12
820,1e-12
825,1e-12
830,1e-12
835,1e-12
840,1e-12
845,1e-12
850,1e-12
855,1e-12
860,1e-12
865,1e-12
870,1e-12
875,1e-12
880,1e-12
885,1e-12
890,1e-12
895,1e-12
900,1e-12
905,1e-12
910,1e-12
915,1e-12
920,1e-12
925,1e-12
930,1e-12
935,1e-12
940,1e-12
945,1e-12
950,1e-12
955,1e-12
960,1e-12
965,1e-12
970,1e-12
975,1e-12
980,1e-12
985,1e-12
990,1e-12
995,1e-12
1000,1e-12
1005,1e-12
1010,1e-12
1015,1e-12
1020,1e-12
1025,1e-12
1030,1e-12
1035,1e-12
1040,1e-12
1045,1e-12
1050,1e-12
1055,1e-12
1060,1e-12
1065,1e-12
1070,1e-12
1075,1e-12
1080,1e-12
1085,1e-12
1090,1e-12
1095,1e-12
1100,1e-12
1105,1e-12
1110,1e-12
1115,1e-12
1120,1e-12
1125,1e-12
1130,1e-12
1135,1e-12
1140,1e-12
1145,1e-12
1150,1e-12
1155,1e-12
1160,1e-12
1165,1e-12
1170,1e-12
1175,1e-12
1180,1e-12
1185,1e-12
1190,1e-12
1195,1e-12
1200,1e-12
1205,1e-12
1210,1e-12
1215,1e-12
1220,1e-12
1225,1e-12
1230,1e-12
1235,1e-12
1240,1e-12
1245,1e-12
1250,1e-12
1255,1e-12
1260,1e-12
1265,1e-12
1270,1e-12
1275,1e-12
1280,1e-12
1285,1e-12
1290,1e-12
1295,1e-12
1300,1e-12
1305,1e-12
1310,1e-12
1315,1e-12
1320,1e-12
1325,1e-12
1330,1e-12
1335,1e-12
1340,1e-12
1345,1e-12
1350,1e-12
1355,1e-12
1360,1e-12
1365,1e-12
1370,1e-12
1375,1e-12
1380,1e-12
1385,1e-12
1390,1e-12
1395,1e-12
1400,1e-12
1405,1e-12
1410,1e-12
1415,1e-12
1420,1e-12
1425,1e-12
1430,1e-12
1435,1e-12
1440,1e-12
1445,1e-12
1450,1e-12
1455,1e-12
1460,1e-12
1465,1e-12
1470,1e-12
1475,1e-12
1480,1e-12
1485,1e-12
1490,1e-12
1495,1e-12
1500,1e-12
1505,1e-12
1510,1e-12
1515,1e-12
1520,1e-12
1525,1e-12
1530,1e-12
1535,1e-12
1540,1e-12
1545,1e-12
1550,1e-12
1555,1e-12
1560,1e-12
1565,1e-12
1570,1e-12
1575,1e-12
1580,1e-12
1585,1e-12
1590,1e-12
1595,1e-12
1600,1e-12
1605,1e-12
1610,1e-12
1615,1e-12
1620,1e-12
1625,1e-12
1630,1e-12
1635,1e-12
1640,1e-12
1645,1e-12
1650,1e-12
1655,1e-12
1660,1e-12
1665,1e-12
1670,1e-12
1675,1e-12
1680,1e-12
1685,1e-12
1690,1e-12
1695,1e-12
1700,1e-12
1705,1e-12
1710,1e-12
1715,1e-12
1720,1e-12
1725,1e-12
1730,1e-12
1735,1e-12
1740,1e-12
1745,1e-12
1750,1e-12
1755,1e-12
1760,1e-12
1765,1e-12
1770,1e-12
1775,1e-12
1780,1e-12
1785,1e-12
1790,1e-12
1795,1e-12
1800,1e-12
1805,1e-12
1810,1e-12
1815,1e-12
1820,1e-12
1825,1e-12
1830,1e-12
1835,1e-12
1840,1e-12
1845,1e-12
1850,1e-12
1855,1e-12
1860,1e-12
1865,1e-12
1870,1e-12
1875,1e-12
1880,1e-12
1885,1e-12
1890,1e-12
1895,1e-12
1900,1e-12
1905,1e-12
1910,1e-12
1915,1e-12
1920,1e-12
1925,1e-12
1930,1e-12
1935,1e-12
1940,1e-12
1945,1e-12
1950,1e-12
1955,1e-12
1960,1e-12
1965,1e-12
1970,1e-12
1975,1e-12
1980,1e-12
1985,1e-12
