t_sobre_T,p_norm,u_norm,i_norm
0.0,0.0,0.0,0.0
0.002,0.012566039883352607,0.012566039883352607,0.0001579053583500084
0.004,0.02513009544333748,0.02513009544333748,0.0006315216969912512
0.006,0.03769018266993454,0.03769018266993454,0.001420549869693034
0.008,0.050244318179769556,0.050244318179769556,0.0025244915093499214
0.01,0.06279051952931337,0.06279051952931337,0.003942649342761085
0.012,0.07532680552793272,0.07532680552793272,0.005674127631042996
0.014,0.08785119655074317,0.08785119655074317,0.007717832735397308
0.016,0.1003617148512149,0.1003617148512149,0.010072473807876568
0.018000000000000002,0.1128563848734817,0.1128563848734817,0.012736563606711427
0.02,0.12533323356430426,0.12533323356430426,0.015708419435684445
0.022,0.13779029068463805,0.13779029068463805,0.018986164206957052
0.024,0.15022558912075706,0.15022558912075706,0.022567727626678524
0.026000000000000002,0.1626371651948836,0.1626371651948836,0.02645084750262786
0.028,0.17502305897527604,0.17502305897527604,0.030633071173062954
0.03,0.1873813145857246,0.1873813145857246,0.035111757055874285
0.032,0.19970998051440703,0.19970998051440703,0.03988407631706484
0.034,0.21200710992205463,0.21200710992205463,0.04494701465750215
0.036000000000000004,0.2242707609493812,0.2242707609493812,0.05029737421681449
0.038,0.23649899702372468,0.23649899702372468,0.055931775593227734
0.04,0.2486898871648548,0.2486898871648548,0.06184665997806821
0.042,0.26084150628989694,0.26084150628989694,0.06803829140358235
0.044,0.27295193551732516,0.27295193551732516,0.07450275910265404
0.046,0.2850192624699761,0.2850192624699761,0.08123597997892913
0.048,0.2970415815770349,0.2970415815770349,0.08823370118578629
0.05,0.3090169943749474,0.3090169943749474,0.09549150281252627
0.052000000000000005,0.32094360980720954,0.32094360980720954,0.10300480067608236
0.054,0.3328195445229866,0.3328195445229866,0.11076884921648827
0.056,0.34464292317451706,0.34464292317451706,0.11877874449427607
0.058,0.35641187871325075,0.35641187871325075,0.12702942728790897
0.06,0.3681245526846779,0.3681245526846779,0.1355156862892942
0.062,0.37977909552180106,0.37977909552180106,0.1442321613953573
0.064,0.3913736668372024,0.3913736668372024,0.15317334709359753
0.066,0.40290643571366264,0.40290643571366264,0.16233359593948776
0.068,0.41437558099328414,0.41437558099328414,0.1717071221235218
0.07,0.4257792915650727,0.4257792915650727,0.1812880051256552
0.07200000000000001,0.43711576665093294,0.43711576665093294,0.19107019345483287
0.074,0.44838321609003223,0.44838321609003223,0.20104750847124053
0.076,0.4595798606214878,0.4595798606214878,0.21121364828886616
0.078,0.4707039321653325,0.4707039321653325,0.22156219175590597
0.08,0.4817536741017153,0.4817536741017153,0.23208660251050173
0.082,0.49272734154829156,0.49272734154829156,0.24278023310924676
0.084,0.5036232016357608,0.5036232016357608,0.25363632922585416
0.08600000000000001,0.5144395337815064,0.5144395337815064,0.26464803391733366
0.088,0.5251746299612956,0.5251746299612956,0.27580839195498374
0.09,0.5358267949789967,0.5358267949789967,0.2871103542174637
0.092,0.5463943467342691,0.5463943467342691,0.2985467821431687
0.094,0.556875616488188,0.556875616488188,0.3101104522390994
0.096,0.5672689491267565,0.5672689491267565,0.3217940606433747
0.098,0.5775727034222675,0.5775727034222675,0.3335902277385066
0.1,0.5877852522924731,0.5877852522924731,0.3454915028125263
0.10200000000000001,0.5979049830575188,0.5979049830575188,0.3574903687650119
0.10400000000000001,0.6079302976946055,0.6079302976946055,0.36957924685505167
0.106,0.6178596130903343,0.6178596130903343,0.3817505014881376
0.108,0.6276913612907005,0.6276913612907005,0.3939964450389727
0.11,0.6374239897486896,0.6374239897486896,0.4063093427071376
0.112,0.6470559615694442,0.6470559615694442,0.4186814174025581
0.114,0.6565857557529565,0.6565857557529565,0.43110485465768106
0.116,0.6660118674342517,0.6660118674342517,0.4435718075632592
0.11800000000000001,0.6753328081210245,0.6753328081210245,0.4560744017246285
0.12,0.6845471059286886,0.6845471059286886,0.4686047402353432
0.122,0.6936533058128049,0.6936533058128049,0.4811549086650327
0.124,0.7026499697988492,0.7026499697988492,0.4937169800583237
0.126,0.7115356772092853,0.7115356772092853,0.5062830199416763
0.128,0.7203090248879069,0.7203090248879069,0.5188450913349674
0.13,0.7289686274214116,0.7289686274214116,0.5313952597646567
0.132,0.7375131173581739,0.7375131173581739,0.5439255982753717
0.134,0.7459411454241821,0.7459411454241821,0.5564281924367408
0.136,0.7542513807361038,0.7542513807361038,0.568895145342319
0.138,0.7624425110114479,0.7624425110114479,0.5813185825974418
0.14,0.7705132427757893,0.7705132427757893,0.5936906572928623
0.14200000000000002,0.7784623015670235,0.7784623015670235,0.6060035549610273
0.14400000000000002,0.7862884321366189,0.7862884321366189,0.6182494985118624
0.146,0.7939903986478353,0.7939903986478353,0.6304207531449484
0.148,0.8015669848708765,0.8015669848708765,0.6425096312349879
0.15,0.8090169943749475,0.8090169943749475,0.6545084971874737
0.152,0.8163392507171839,0.8163392507171839,0.6664097722614933
0.154,0.8235325976284275,0.8235325976284275,0.6782059393566254
0.156,0.8305958991958126,0.8305958991958126,0.6898895477609004
0.158,0.8375280400421417,0.8375280400421417,0.7014532178568312
0.16,0.8443279255020151,0.8443279255020151,0.7128896457825363
0.162,0.8509944817946918,0.8509944817946918,0.7241916080450161
0.164,0.8575266561936523,0.8575266561936523,0.7353519660826664
0.166,0.8639234171928353,0.8639234171928353,0.7463636707741457
0.168,0.8701837546695257,0.8701837546695257,0.7572197668907533
0.17,0.8763066800438637,0.8763066800438637,0.7679133974894985
0.17200000000000001,0.8822912264349533,0.8822912264349533,0.778437808244094
0.17400000000000002,0.8881364488135446,0.8881364488135446,0.7887863517111339
0.176,0.8938414241512637,0.8938414241512637,0.7989524915287592
0.178,0.899405251566371,0.899405251566371,0.808929806545167
0.18,0.9048270524660196,0.9048270524660196,0.818711994874345
0.182,0.9101059706849957,0.9101059706849957,0.8282928778764782
0.184,0.9152411726209175,0.9152411726209175,0.8376664040605122
0.186,0.9202318473658703,0.9202318473658703,0.8468266529064024
0.188,0.925077206834458,0.925077206834458,0.8557678386046427
0.19,0.9297764858882513,0.9297764858882513,0.8644843137107057
0.192,0.934328942456612,0.934328942456612,0.872970572712091
0.194,0.9387338576538741,0.9387338576538741,0.8812212555057239
0.196,0.9429905358928644,0.9429905358928644,0.8892311507835116
0.198,0.9470983049947443,0.9470983049947443,0.8969951993239178
0.2,0.9510565162951535,0.9510565162951535,0.9045084971874736
0.202,0.954864544746643,0.954864544746643,0.9117662988142137
0.20400000000000001,0.9585217890173758,0.9585217890173758,0.9187640200210707
0.20600000000000002,0.9620276715860859,0.9620276715860859,0.925497240897346
0.20800000000000002,0.9653816388332739,0.9653816388332739,0.9319617085964177
0.21,0.9685831611286311,0.9685831611286311,0.9381533400219317
0.212,0.9716317329146739,0.9716317329146739,0.9440682244067721
0.214,0.9745268727865771,0.9745268727865771,0.9497026257831854
0.216,0.9772681235681935,0.9772681235681935,0.9550529853424978
0.218,0.9798550523842469,0.9798550523842469,0.9601159236829352
0.22,0.9822872507286886,0.9822872507286886,0.9648882429441256
0.222,0.9845643345292053,0.9845643345292053,0.969366928826937
0.224,0.986685944207868,0.986685944207868,0.9735491524973721
0.226,0.9886517447379141,0.9886517447379141,0.9774322723733215
0.228,0.9904614256966512,0.9904614256966512,0.9810138357930429
0.23,0.9921147013144779,0.9921147013144779,0.9842915805643156
0.232,0.9936113105200084,0.9936113105200084,0.9872634363932885
0.234,0.9949510169813002,0.9949510169813002,0.9899275261921234
0.23600000000000002,0.9961336091431725,0.9961336091431725,0.9922821672646027
0.23800000000000002,0.9971589002606139,0.9971589002606139,0.994325872368957
0.24,0.9980267284282716,0.9980267284282716,0.9960573506572389
0.242,0.9987369566060175,0.9987369566060175,0.99747550849065
0.244,0.9992894726405892,0.9992894726405892,0.9985794501303069
0.246,0.9996841892832999,0.9996841892832999,0.9993684783030087
0.248,0.9999210442038161,0.9999210442038161,0.99984209464165
0.25,1.0,1.0,1.0
0.252,0.9999210442038161,0.9999210442038161,0.99984209464165
0.254,0.9996841892832999,0.9996841892832999,0.9993684783030087
0.256,0.9992894726405892,0.9992894726405892,0.9985794501303069
0.258,0.9987369566060175,0.9987369566060175,0.99747550849065
0.26,0.9980267284282716,0.9980267284282716,0.9960573506572389
0.262,0.9971589002606139,0.9971589002606139,0.994325872368957
0.264,0.9961336091431725,0.9961336091431725,0.9922821672646027
0.266,0.9949510169813002,0.9949510169813002,0.9899275261921234
0.268,0.9936113105200084,0.9936113105200084,0.9872634363932885
0.27,0.9921147013144778,0.9921147013144778,0.9842915805643154
