t_s,t_ms,p_Pa
0.0,0.0,0.0651074631814833
2e-05,0.02,0.06747157027277757
4e-05,0.04,0.06981915910342419
6.000000000000001e-05,0.06000000000000001,0.07214958012634758
8e-05,0.08,0.07446219437485009
0.0001,0.1,0.07675637373466035
0.00012000000000000002,0.12000000000000002,0.07903150120918916
0.00014000000000000001,0.14,0.08128697117784656
0.00016,0.16,0.08352218964727721
0.00018,0.18000000000000002,0.08573657449537647
0.0002,0.2,0.08792955570795344
0.00022,0.22,0.09010057560791263
0.00024000000000000003,0.24000000000000005,0.09224908907682962
0.00026000000000000003,0.26,0.09437456376880185
0.00028000000000000003,0.28,0.09647648031645978
0.00030000000000000003,0.30000000000000004,0.09855433252902902
0.00032,0.32,0.10060762758233877
0.00034,0.34,0.10263588620067707
0.00036,0.36000000000000004,0.10463864283039848
0.00038,0.38,0.10661544580519475
0.0004,0.4,0.10856585750294481
0.00042,0.42000000000000004,0.11048945449406464
0.00044,0.44,0.11238582768128445
0.00046,0.46,0.11425458243078405
0.00048000000000000007,0.4800000000000001,0.1160953386946244
0.0005,0.5,0.1179077311244178
0.0005200000000000001,0.52,0.1196914091761849
0.00054,0.54,0.12144603720635197
0.0005600000000000001,0.56,0.12317129455884797
0.00058,0.58,0.12486687564326597
0.0006000000000000001,0.6000000000000001,0.12653249000405903
0.00062,0.62,0.12816786238074654
0.00064,0.64,0.1297727327591127
0.0006600000000000001,0.6600000000000001,0.13134685641338353
0.00068,0.68,0.13289000393937578
0.0007000000000000001,0.7000000000000001,0.13440196127861528
0.00072,0.7200000000000001,0.13588252973342932
0.0007400000000000001,0.7400000000000001,0.13733152597302167
0.00076,0.76,0.13874878203054614
0.0007800000000000001,0.7800000000000001,0.14013414529119833
0.0008,0.8,0.14148747847135248
0.0008200000000000001,0.8200000000000001,0.14280865958877495
0.00084,0.8400000000000001,0.14409758192395122
0.0008600000000000001,0.8600000000000001,0.1453541539725694
0.00088,0.88,0.14657829938920836
0.0009000000000000001,0.9000000000000001,0.14776995692228398
0.00092,0.92,0.14892908034031277
0.0009400000000000001,0.9400000000000001,0.15005563834955657
0.0009600000000000001,0.9600000000000002,0.15114961450311887
0.0009800000000000002,0.9800000000000002,0.1522110071015667
0.001,1.0,0.153239829085159
0.00102,1.02,0.154236107917766
0.0010400000000000001,1.04,0.15519988546257063
0.0010600000000000002,1.0600000000000003,0.15613121784964704
0.00108,1.08,0.1570301753355164
0.0011,1.1,0.15789684215478567
0.0011200000000000001,1.12,0.15873131636397933
0.0011400000000000002,1.1400000000000001,0.15953370967767888
0.00116,1.16,0.1603041472970897
0.00118,1.1800000000000002,0.16104276773115941
0.0012000000000000001,1.2000000000000002,0.1617497226103771
0.0012200000000000002,1.2200000000000002,0.1624251764933856
