"asset_id","unit","slide_id","type","title","description","pedagogical_purpose","source_url","creator","organization","license","access_date","local_path","status","credit_text","notes"
"U06-IMG-001","06","U06-001;U06-009;U06-010","external_image","Pabellón y oído periférico","Recorte del SVG anatómico U06-IMG-003 centrado en pabellón y entrada del CAE.","Anclar dirección, geometría y entrada acústica sin usar una fotografía decorativa.","https://commons.wikimedia.org/wiki/File:Anatomy_of_the_Human_Ear_1_Intl.svg","Jmarchn","Wikimedia Commons","CC BY-SA 3.0; también GFDL","2026-08-10","","proposed","Ilustración: Jmarchn, CC BY-SA 3.0, vía Wikimedia Commons.","Derivado futuro de U06-IMG-003; no crear hasta aprobar recorte y atribución share-alike. Alternativa: DG-005 sin imagen."
"U06-IMG-002","06","U06-012","external_image","Real ear measurement","Fotografía real de medición con tubo sonda insertado en el CAE.","Mostrar que la presión se mide en una posición concreta y reconocer sonda/micrófono de referencia.","https://commons.wikimedia.org/wiki/File:RealEarMeasurement.png","Cstokesrees","Wikimedia Commons","CC BY-SA 3.0","2026-08-10","units/unit_06/assets/external/u06_img_002_medicion_oido_real.png","downloaded","Foto: Cstokesrees, CC BY-SA 3.0, vía Wikimedia Commons.","Original 1350×1800; SHA256 B751B302EAC63F9C545EA2DEB89A05A20BF6E2D2A7796C2B254CF6EB2A046951. Inspeccionada: sonda y referencia visibles; recorte vertical/horizontal por producir sin ocultar la punta. Alternativa DG-006/llamadas editables."
"U06-IMG-003","06","U06-019;U06-029","external_image","Anatomy of the Human Ear 1 Intl","SVG numerado del oído externo, medio e interno.","Dar referencia anatómica global y ubicar tímpano, huesecillos, ventanas y cóclea.","https://commons.wikimedia.org/wiki/File:Anatomy_of_the_Human_Ear_1_Intl.svg","Jmarchn","Wikimedia Commons","CC BY-SA 3.0; también GFDL","2026-08-10","units/unit_06/assets/external/u06_img_003_anatomia_oido_humano.svg","downloaded","Ilustración: Jmarchn, CC BY-SA 3.0, vía Wikimedia Commons.","SVG original 729×530; SHA256 9C82119AF628C8FFD8A2EECE81DFAA54AADF99A1A908E3B8523661F327872513. Inspeccionado: 23 llamadas son demasiado densas para aula; usar solo como referencia/recorte y superponer 4–7 rótulos propios. Alternativa DG-012/DG-015."
"U06-IMG-004","06","U06-026","external_image","Eustachian Tube (PSF)","Ilustración anatómica de la trompa auditiva y su conexión.","Ubicar la comunicación oído medio–nasofaringe antes de explicar equilibrio de presión.","https://commons.wikimedia.org/wiki/File:Eustachian_Tube_(PSF).png","Pearson Scott Foresman","Wikimedia Commons / Pearson Scott Foresman","Dominio público; liberado por el titular","2026-08-10","","shortlisted","Ilustración: Pearson Scott Foresman, dominio público, vía Wikimedia Commons.","No descargada. Comparar con el recorte de U06-IMG-003 y elegir la opción anatómicamente más clara. Alternativa DG-014."
"U06-IMG-005","06","U06-047","external_image","Vibrador óseo y punto de apoyo","Fotografía propia de un vibrador óseo disponible en la institución.","Reconocer transductor, acoplamiento y punto de apoyo sin convertir la demostración en prueba clínica.","","Equipo docente","UCASAL","Producción propia; uso institucional","","","proposed","Producción propia UCASAL.","No sustituir por auriculares de conducción ósea de consumo. Registrar modelo, escala, ubicación y consentimiento si aparece una persona. Alternativa DG-029."
"U06-IMG-006","06","U06-056;U06-073","external_image","Organ of Corti multilingual updated version","SVG técnico numerado con CCI, CCE, membranas, pilares y túneles.","Servir como referencia anatómica y respaldo para construir un corte simplificado editable.","https://commons.wikimedia.org/wiki/File:Organ_of_Corti_multilingual_updated_version.svg","Hsebasti","Wikimedia Commons","CC BY-SA 4.0","2026-08-10","units/unit_06/assets/external/u06_img_006_organo_corti_multilingue.svg","downloaded","Ilustración: Hsebasti, CC BY-SA 4.0, vía Wikimedia Commons.","SVG 596×391; SHA256 D8E06F0CDE3A326E67A12CECE1465A5DA78191EAAD90F4F808FD79C597FBE7F4. Inspeccionado: útil como referencia, pero demasiado denso y con leyenda multilingüe; requiere revisión anatómica independiente antes de aprobar. Alternativa DG-035B/DG-041."
"U06-IMG-007","06","U06-057;U06-073;U06-116","external_image","Gray 932 — Tunnel of Corti","Lámina histórica del órgano de Corti con túnel y pilares identificados.","Sustentar la definición obligatoria del túnel de Corti y validar los límites del esquema propio.","https://commons.wikimedia.org/wiki/File:Gray932.png","Henry Vandyke Carter; edición de Gray's Anatomy","Wikimedia Commons","Dominio público; Public Domain Mark 1.0","2026-08-10","","shortlisted","Henry Vandyke Carter, dominio público, vía Wikimedia Commons.","Descarga pospuesta por límite 429 del servidor; no se creó archivo parcial. Alta trazabilidad anatómica histórica, pero debe contrastarse con una fuente moderna antes de usar como visual principal. Alternativa U06-IMG-006 + DG-036."
"U06-IMG-008","06","U06-051;U06-052;U06-060","external_image","Cross Section of the Cochlea — Figure 14.7","Ilustración de las tres rampas, conducto coclear y órgano de Corti.","Contrastar la geometría de los diagramas propios y ofrecer una referencia anatómica introductoria.","https://openstax.org/books/anatomy-and-physiology-2e/pages/14-1-sensory-perception","OpenStax contributors","Rice University / OpenStax","CC BY-NC-SA 4.0; algunas micrografías poseen crédito propio","2026-08-10","","shortlisted","Copyright Rice University, OpenStax, CC BY-NC-SA 4.0.","No descargada. Usar solo la figura cuyo crédito individual no introduzca restricciones adicionales; alternativa DG-032–DG-037."
"U06-IMG-009","06","U06-080;U06-100","external_image","Equipamento portátil de Emissões Otoacústicas OAE","Imagen de equipo portátil de OEA.","Reconocer el instrumento como punto de observación de una cadena, no como evidencia diagnóstica aislada.","https://commons.wikimedia.org/wiki/File:Equipamento_port%C3%A1til_de_Emiss%C3%B5es_Otoac%C3%BAsticas_OAE.png","Ray Soares Nogueira","Wikimedia Commons","CC BY-SA 4.0","2026-08-10","","shortlisted","Imagen: Ray Soares Nogueira, CC BY-SA 4.0, vía Wikimedia Commons.","Descarga pospuesta por límite 429; no se creó archivo parcial. La imagen fue producida en Canva y debe evaluarse como captura de instrumento, no como diagrama científico. Alternativa DG-047/DG-060."
"U06-IMG-010","06","U06-101","external_image","Montaje genérico de potencial evocado","Fotografía propia de electrodos, referencia y sistema de registro sin datos identificatorios.","Mostrar que el registro depende de montaje y referencia eléctrica.","","Equipo docente","UCASAL","Producción propia con consentimiento","","","proposed","Producción propia UCASAL.","No usar una captura clínica con datos personales. Si no se dispone del montaje, usar exclusivamente DG-061."
