t_s,t_ms,p_acustica_Pa,p_total_Pa
0.0,0.0,0.0,101325.0
5e-06,0.005,0.0031414634623641354,101325.00314146346
1e-05,0.01,0.006282151815625659,101325.00628215182
1.5000000000000002e-05,0.015000000000000003,0.009421290141928534,101325.00942129015
2e-05,0.02,0.012558103905862676,101325.0125581039
2.5e-05,0.025,0.01569181914556899,101325.01569181915
3.0000000000000004e-05,0.030000000000000006,0.018821662663702866,101325.01882166267
3.5000000000000004e-05,0.035,0.021946862218209056,101325.02194686222
4e-05,0.04,0.02506664671286085,101325.02506664672
4.5e-05,0.045000000000000005,0.028180246387516535,101325.02818024639
5e-05,0.05,0.03128689300804618,101325.031286893
5.5e-05,0.055,0.03438582005588191,101325.03438582005
6.000000000000001e-05,0.06000000000000001,0.037476262917144926,101325.03747626292
6.500000000000001e-05,0.065,0.0405574590713025,101325.04055745907
7.000000000000001e-05,0.07,0.04362864827930851,101325.04362864827
7.500000000000001e-05,0.07500000000000001,0.04668907277118108,101325.04668907277
8e-05,0.08,0.04973797743297096,101325.04973797743
8.5e-05,0.085,0.052774609993074574,101325.05277461
9e-05,0.09000000000000001,0.05579822120784586,101325.0557982212
9.5e-05,0.095,0.05880806504646079,101325.05880806505
0.0001,0.1,0.06180339887498948,101325.06180339887
0.000105,0.10500000000000001,0.06478348363962987,101325.06478348364
0.00011,0.11,0.06774758404905827,101325.06774758405
0.000115,0.115,0.07069496875585143,101325.07069496876
0.00012000000000000002,0.12000000000000002,0.0736249105369356,101325.07362491054
0.000125,0.125,0.07653668647301796,101325.07653668648
0.00013000000000000002,0.13,0.07942957812695613,101325.07942957812
0.000135,0.135,0.08230287172102176,101325.08230287173
0.00014000000000000001,0.14,0.08515585831301453,101325.08515585831
0.000145,0.145,0.08798783397118302,101325.08798783398
0.00015000000000000001,0.15000000000000002,0.09079809994790936,101325.09079809995
0.000155,0.155,0.09358596285211468,101325.09358596285
0.00016,0.16,0.09635073482034306,101325.09635073482
0.00016500000000000003,0.16500000000000004,0.09909173368648153,101325.09909173369
0.00017,0.17,0.10180828315007424,101325.10180828314
0.00017500000000000003,0.17500000000000002,0.10449971294318977,101325.10449971295
0.00018,0.18000000000000002,0.10716535899579933,101325.10716535899
0.00018500000000000002,0.18500000000000003,0.10980456359962637,101325.1098045636
0.00019,0.19,0.11241667557042612,101325.11241667558
0.00019500000000000002,0.19500000000000003,0.11500105040865571,101325.1150010504
0.0002,0.2,0.11755705045849463,101325.11755705046
0.00020500000000000002,0.20500000000000002,0.12008404506517681,101325.12008404506
0.00021,0.21000000000000002,0.12258141073059528,101325.12258141073
0.00021500000000000002,0.21500000000000002,0.12504853126714105,101325.12504853126
0.00022,0.22,0.12748479794973794,101325.12748479795
0.00022500000000000002,0.22500000000000003,0.12988960966603674,101325.12988960967
0.00023,0.23,0.13226237306473038,101325.13226237307
0.00023500000000000002,0.23500000000000001,0.13460250270195467,101325.1346025027
0.00024000000000000003,0.24000000000000005,0.13690942118573776,101325.13690942118
0.00024500000000000005,0.24500000000000005,0.13918255931846288,101325.13918255932
0.00025,0.25,0.14142135623730953,101325.14142135624
0.000255,0.255,0.14362525955263777,101325.14362525956
0.00026000000000000003,0.26,0.14579372548428232,101325.14579372549
0.00026500000000000004,0.26500000000000007,0.14792621899572195,101325.147926219
0.00027,0.27,0.1500222139260919,101325.15002221393
0.000275,0.275,0.1520811931200062,101325.15208119313
0.00028000000000000003,0.28,0.15410264855515787,101325.15410264855
0.00028500000000000004,0.28500000000000003,0.15608608146766595,101325.15608608146
0.00029,0.29,0.15803100247513807,101325.15803100247
0.000295,0.29500000000000004,0.1599369316974181,101325.1599369317
0.00030000000000000003,0.30000000000000004,0.1618033988749895,101325.16180339888
0.00030500000000000004,0.30500000000000005,0.1636299434850047,101325.16362994349
0.00031,0.31,0.16541611485491237,101325.16541611486
0.000315,0.315,0.16716147227365405,101325.16716147227
0.00032,0.32,0.16886558510040303,101325.1688655851
0.00032500000000000004,0.32500000000000007,0.17052803287081844,101325.17052803288
