t_s,signal_mPa,noise_unit_mPa,mix_snr_+12_mPa,mix_snr_+0_mPa,mix_snr_-6_mPa
0,5.83003314884e-06,0.0294720515044,0.00740887466141,0.0294778815375,0.0588103037446
0.000125,1.38397721161e-05,-0.776512697573,-0.195037331121,-0.776498857801,-1.54933268279
0.00025,6.75472690266e-05,-0.788887538089,-0.198092043022,-0.78881999082,-1.57397002823
0.000375,0.000201346771996,-0.110545223638,-0.0275663579604,-0.110343876866,-0.220365372052
0.0005,0.000429264105302,0.0959222780371,0.0245238509734,0.0963515421424,0.191819370639
0.000625,0.000739961648931,-0.979091510488,-0.245196706391,-0.978351548839,-1.95280443213
0.00075,0.00109689891053,-2.42203248751,-0.607290155295,-2.4209355886,-4.83149324905
0.000875,0.0014437774759,-2.44297457477,-0.612203691213,-2.44153079729,-4.87293132799
0.001,0.0017143955345,-0.670758185594,-0.166772442987,-0.669043790059,-1.33662413464
0.001125,0.00184516262561,0.866138049797,0.219409204136,0.867983212423,1.73001777295
0.00125,0.00178793781359,0.117903737436,0.0314040176427,0.11969167525,0.237036821914
0.001375,0.00152066818113,-1.66498167961,-0.416703820791,-1.66346101143,-3.32055453225
0.0015,0.00105356929055,-1.46130064147,-0.366008556076,-1.46024707218,-2.91462453148
0.001625,0.000429280754537,0.563030036321,0.141856031631,0.563459317076,1.12382189442
0.00175,-0.000283549131367,1.43526703876,0.360239230895,1.43498348963,2.86345068523
0.001875,-0.00100260317076,0.499434565845,0.124449687766,0.498431962674,0.995500364852
0.002,-0.00164834341015,-0.312104013125,-0.0800453269889,-0.313752356535,-0.624377719148
0.002125,-0.00216180744189,-0.48294166887,-0.123471269966,-0.485103476312,-0.965757119666
0.00225,-0.00252045158913,-0.967892307588,-0.245644007048,-0.970412759177,-1.93371949787
0.002375,-0.00274872495373,-1.42314012086,-0.360225360925,-1.42588884581,-2.84228657702
0.0025,-0.0029206159372,-0.678516363275,-0.173356220584,-0.681436979212,-1.35673874567
0.002625,-0.00315249969582,0.852669390034,0.211028367443,0.849516890338,1.69814660137
0.00275,-0.00358609984606,1.53225020595,0.381297750354,1.5286641061,3.05365499319
0.002875,-0.00436305600416,0.999480842837,0.246695180763,0.995117786833,1.98986340424
0.003,-0.00559420915837,0.416659078846,0.0990658195135,0.411064869688,0.825749949053
0.003125,-0.0073280168558,0.276374812345,0.0620941972583,0.26904679549,0.544112231024
0.00325,-0.00952325504415,0.0751829110114,0.00936183836094,0.0656596559672,0.140486374027
0.003375,-0.0120311838052,-0.0569248520514,-0.0263300601536,-0.0689560358566,-0.125611195889
