t_s,t_ms,seno_Pa,nula_Pa
0.0,0.0,0.0,0.0
2e-05,0.02,0.0025132079766705217,0.0
4e-05,0.04,0.005026019088667497,0.0
6.000000000000001e-05,0.06000000000000001,0.00753803653398691,0.0
8e-05,0.08,0.010048863635953913,0.0
0.0001,0.1,0.012558103905862676,0.0
0.00012000000000000002,0.12000000000000002,0.015065361105586548,0.0
0.00014000000000000001,0.14,0.017570239310148637,0.0
0.00016,0.16,0.02007234297024298,0.0
0.00018,0.18000000000000002,0.02257127697469634,0.0
0.0002,0.2,0.02506664671286085,0.0
0.00022,0.22,0.02755805813692762,0.0
0.00024000000000000003,0.24000000000000005,0.03004511782415142,0.0
0.00026000000000000003,0.26,0.032527433038976726,0.0
0.00028000000000000003,0.28,0.035004611795055214,0.0
0.00030000000000000003,0.30000000000000004,0.037476262917144926,0.0
0.00032,0.32,0.039941996102881405,0.0
0.00034,0.34,0.042401421984410936,0.0
0.00036,0.36000000000000004,0.04485415218987624,0.0
0.00038,0.38,0.04729979940474494,0.0
0.0004,0.4,0.04973797743297096,0.0
0.00042,0.42000000000000004,0.05216830125797939,0.0
0.00044,0.44,0.054590387103465046,0.0
0.00046,0.46,0.05700385249399523,0.0
0.00048000000000000007,0.4800000000000001,0.059408316315406995,0.0
0.0005,0.5,0.06180339887498948,0.0
0.0005200000000000001,0.52,0.06418872196144192,0.0
0.00054,0.54,0.06656390890459733,0.0
0.0005600000000000001,0.56,0.06892858463490341,0.0
0.00058,0.58,0.07128237574265016,0.0
0.0006000000000000001,0.6000000000000001,0.0736249105369356,0.0
0.00062,0.62,0.07595581910436022,0.0
0.00064,0.64,0.0782747333674405,0.0
0.0006600000000000001,0.6600000000000001,0.08058128714273255,0.0
0.00068,0.68,0.08287511619865684,0.0
0.0007000000000000001,0.7000000000000001,0.08515585831301455,0.0
0.00072,0.7200000000000001,0.08742315333018659,0.0
0.0007400000000000001,0.7400000000000001,0.08967664321800646,0.0
0.00076,0.76,0.09191597212429758,0.0
0.0007800000000000001,0.7800000000000001,0.09414078643306653,0.0
0.0008,0.8,0.09635073482034306,0.0
0.0008200000000000001,0.8200000000000001,0.09854546830965832,0.0
0.00084,0.8400000000000001,0.10072464032715217,0.0
0.0008600000000000001,0.8600000000000001,0.10288790675630129,0.0
0.00088,0.88,0.10503492599225915,0.0
0.0009000000000000001,0.9000000000000001,0.10716535899579933,0.0
0.00092,0.92,0.10927886934685382,0.0
0.0009400000000000001,0.9400000000000001,0.11137512329763762,0.0
0.0009600000000000001,0.9600000000000002,0.11345378982535131,0.0
0.0009800000000000002,0.9800000000000002,0.11551454068445353,0.0
0.001,1.0,0.11755705045849463,0.0
0.00102,1.02,0.11958099661150379,0.0
0.0010400000000000001,1.04,0.1215860595389211,0.0
0.0010600000000000002,1.0600000000000003,0.12357192261806689,0.0
0.00108,1.08,0.12553827225814013,0.0
0.0011,1.1,0.12748479794973797,0.0
0.0011200000000000001,1.12,0.12941119231388887,0.0
0.0011400000000000002,1.1400000000000001,0.1313171511505913,0.0
0.00116,1.16,0.13320237348685035,0.0
0.00118,1.1800000000000002,0.1350665616242049,0.0
0.0012000000000000001,1.2000000000000002,0.13690942118573776,0.0
0.0012200000000000002,1.2200000000000002,0.13873066116256103,0.0
0.00124,1.24,0.14052999395976984,0.0
0.00126,1.26,0.14230713544185708,0.0
0.00128,1.28,0.1440618049775814,0.0
0.0013000000000000002,1.3000000000000003,0.14579372548428232,0.0
0.0013200000000000002,1.3200000000000003,0.1475026234716348,0.0
0.00134,1.34,0.14918822908483642,0.0
0.00136,1.36,0.1508502761472208,0.0
0.0013800000000000002,1.3800000000000001,0.1524885022022896,0.0
0.0014000000000000002,1.4000000000000001,0.15410264855515787,0.0
0.00142,1.42,0.1556924603134047,0.0
0.00144,1.4400000000000002,0.1572576864273238,0.0
0.0014600000000000001,1.4600000000000002,0.15879807972956708,0.0
0.0014800000000000002,1.4800000000000002,0.16031339697417535,0.0
0.0015,1.5,0.1618033988749895,0.0
0.00152,1.52,0.1632678501434368,0.0
0.0015400000000000001,1.54,0.1647065195256855,0.0
0.0015600000000000002,1.5600000000000003,0.16611917983916258,0.0
0.00158,1.58,0.16750560800842837,0.0
0.0016,1.6,0.16886558510040303,0.0
0.0016200000000000001,1.62,0.1701988963589384,0.0
0.0016400000000000002,1.6400000000000001,0.17150533123873046,0.0
0.0016600000000000002,1.6600000000000001,0.1727846834385671,0.0
0.00168,1.6800000000000002,0.17403675093390514,0.0
0.0017000000000000001,1.7000000000000002,0.17526133600877275,0.0
0.0017200000000000002,1.7200000000000002,0.17645824528699067,0.0
0.0017400000000000002,1.7400000000000002,0.17762728976270892,0.0
0.00176,1.76,0.17876828483025275,0.0
0.0017800000000000001,1.78,0.17988105031327423,0.0
0.0018000000000000002,1.8000000000000003,0.18096541049320392,0.0
0.0018200000000000002,1.8200000000000003,0.18202119413699916,0.0
0.00184,1.84,0.1830482345241835,0.0
0.00186,1.86,0.1840463694731741,0.0
0.0018800000000000002,1.8800000000000001,0.18501544136689163,0.0
0.0019000000000000002,1.9000000000000001,0.1859552971776503,0.0
0.0019200000000000003,1.9200000000000004,0.18686578849132243,0.0
0.00194,1.9400000000000002,0.18774677153077482,0.0
0.0019600000000000004,1.9600000000000004,0.18859810717857292,0.0
0.00198,1.98,0.18941966099894889,0.0
0.002,2.0,0.1902113032590307,0.0
0.00202,2.02,0.1909729089493286,0.0
0.00204,2.04,0.1917043578034752,0.0
0.00206,2.06,0.1924055343172172,0.0
0.0020800000000000003,2.08,0.1930763277666548,0.0
0.0021000000000000003,2.1,0.19371663222572624,0.0
0.0021200000000000004,2.1200000000000006,0.1943263465829348,0.0
0.00214,2.14,0.19490537455731544,0.0
0.00216,2.16,0.1954536247136387,0.0
0.00218,2.18,0.1959710104768494,0.0
0.0022,2.2,0.19645745014573776,0.0
0.00222,2.22,0.1969128669058411,0.0
0.0022400000000000002,2.24,0.1973371888415736,0.0
0.0022600000000000003,2.2600000000000002,0.19773034894758282,0.0
0.0022800000000000003,2.2800000000000002,0.19809228513933028,0.0
0.0023000000000000004,2.3000000000000003,0.1984229402628956,0.0
0.00232,2.32,0.19872226210400168,0.0
0.00234,2.34,0.19899020339626006,0.0
0.00236,2.3600000000000003,0.19922672182863452,0.0
0.00238,2.3800000000000003,0.1994317800521228,0.0
0.0024000000000000002,2.4000000000000004,0.19960534568565433,0.0
0.0024200000000000003,2.4200000000000004,0.1997473913212035,0.0
0.0024400000000000003,2.4400000000000004,0.19985789452811786,0.0
0.0024600000000000004,2.4600000000000004,0.19993683785666,0.0
0.00248,2.48,0.19998420884076323,0.0
0.0025,2.5,0.2,0.0
0.00252,2.52,0.19998420884076323,0.0
0.00254,2.54,0.19993683785666,0.0
