"asset_id","unit","slide_id","type","title","description","pedagogical_purpose","source_url","creator","organization","license","access_date","local_path","status","credit_text","notes"
"U05-EXT-001","05","U05-078","external_image","Medical ultrasound","Fotografía real de un examen ecográfico realizado por un profesional.","Contextualizar el ultrasonido como región frecuencial y aplicación técnica real.","https://commons.wikimedia.org/wiki/File:Medical_ultrasound.jpg","Joseph Caballero","U.S. Navy / Wikimedia Commons","Dominio público; Public Domain Mark 1.0","2026-07-31","units/unit_05/assets/external/u05_img_001_ecografia_medica_us_navy.jpg","approved","Foto: Joseph Caballero, U.S. Navy, dominio público, vía Wikimedia Commons.","Original 2100×1396; SHA256 327BF37ACEE8028986702268353BE54D725A0BE8DEA9689F945CD2B84A0CEF78. Crear recorte derivado sensible centrado en transductor/cable/consola, minimizando rostro y exposición corporal; no explicar anatomía o procedimiento clínico. Alternativa: CH-013 y DG-008."
"U05-EXT-002","05","U05-081","external_image","Montaje de medición vocal o instrumental","Fotografía propia del sensor, la fuente y la condición de medición.","Mostrar que un rango dinámico depende del montaje y del descriptor.","","Equipo docente","UCASAL","Producción propia","","","proposed","Producción propia UCASAL.","No reemplazar por stock. Registrar instrumento, sensor, distancia, señal, sala y fecha; nombre previsto u05_img_003_montaje_medicion.jpg. Alternativa: esquema editable DG-008 con datos declarados."
"U05-EXT-003","05","U05-118","external_image","Sound level meter Brüel & Kjær Type 2232","Fotografía frontal de un sonómetro de precisión.","Reconocer micrófono, cuerpo, controles y lectura de un instrumento real.","https://commons.wikimedia.org/wiki/File:Sound_level_meter_Bruel_Kjaer.jpg","Harke","Wikimedia Commons","Dominio público; PD-self","2026-07-31","units/unit_05/assets/external/u05_img_002_sonometro_bk2232.jpg","approved","Foto: Harke, dominio público, vía Wikimedia Commons.","Reutilizado desde U4; 1643×3650; SHA256 7BB2663D929A50797CEAB67B03C3B281280FE16B08A4FD20A5D7F3EDBF68E3A2. No usar la lectura de pantalla como dato del curso. Alternativa: cadena editable DG-012."
"U05-REF-001","05","U05-108;U05-111;U05-115;U05-117;U05-145","reference","IEC 61672-1:2013","Página oficial de la norma de especificaciones para sonómetros.","Verificar edición, alcance y fuente de ponderaciones/medición antes de producir curvas.","https://webstore.iec.ch/en/publication/5708","IEC TC 29","International Electrotechnical Commission","Copyright; referencia, sin reutilización del texto completo","2026-07-31","","shortlisted","IEC 61672-1:2013, edición 2.0.","La página pública no reemplaza la norma licenciada; no copiar tablas o tolerancias sin autorización."
"U05-REF-002","05","U05-087;U05-091;U05-142","reference","IEC 61260-1:2014","Página oficial de la norma para filtros de octava y fracciones de octava.","Verificar centros, alcance y distinción entre objetivos y tolerancias.","https://webstore.iec.ch/en/publication/5063","IEC TC 29","International Electrotechnical Commission","Copyright; referencia, sin reutilización del texto completo","2026-07-31","","shortlisted","IEC 61260-1:2014, edición 1.0.","Usar solo como referencia; las fórmulas/valores deben contrastarse con copia autorizada o libro trazable."
"U05-REF-003","05","U05-113;U05-117;U05-122","reference","NIOSH Sound Level Meter App","Página técnica de NIOSH sobre métricas, A/C/Z, calibración y límites de apps.","Contrastar aplicación móvil con sistema de medición verificado y discutir configuraciones.","https://www.cdc.gov/niosh/noise/about/app.html","NIOSH","Centers for Disease Control and Prevention","Información pública; referencia y enlace","2026-07-31","","shortlisted","Fuente: NIOSH/CDC.","No insertar capturas ni videos sin revisar términos; usar como referencia, no como sustituto universal del sonómetro."
"U05-MED-001","05","U05-020","audio","Tres tonos y su suma","Cuatro pistas y versión concatenada con niveles controlados.","Oír componentes simples y señal compleja antes del formalismo.","","Equipo docente","UCASAL","Producción propia","","","proposed","Producción propia UCASAL.","Nombre previsto u05_media_001_tonos_y_suma.wav; 48 kHz/24 bit; nivel seguro; depende de CH-005."
"U05-MED-002","05","U05-020;U05-021","video_or_gif","Síntesis progresiva de Fourier","Animación de suma parcial con escalas constantes.","Hacer observable la aproximación al aumentar componentes.","","Equipo docente","UCASAL","Producción propia","","","proposed","Basado en libro del curso, figura 5.2.","Nombre previsto u05_media_002_sintesis_fourier.mp4; GIF y cuatro frames de respaldo."
"U05-MED-003","05","U05-048;U05-071","audio","Vocal sostenida autorizada","Registro breve con cadena de captura documentada.","Vincular forma temporal, espectrograma, armónicos y envolvente.","","Equipo docente / participante autorizado","UCASAL","Producción propia con consentimiento","","","proposed","Producción propia UCASAL.","Nombre previsto u05_media_003_vocal_sostenida.wav; anonimizar y documentar consentimiento, micrófono y f_s."
"U05-MED-004","05","U05-048","video_or_gif","Espectrograma sincronizado de vocal","Cursor temporal sobre espectrograma estático.","Relacionar lo oído con cambios tiempo–frecuencia.","","Equipo docente","UCASAL","Producción propia","","","proposed","Producción propia desde U05-MED-003.","Nombre previsto u05_media_004_espectrograma_vocal.mp4; bloqueado hasta disponer de MED-003."
