t_s,sine_mPa,random_mPa
0,2.32373683885e-16,0.0200420740499
0.00025,0.437016024449,-0.475201497922
0.0005,0.831253875555,-0.37994331858
0.00075,1.14412280564,0.574066021382
0.001,1.34499702393,1.81603568762
0.00125,1.41421356237,2.18562167019
0.0015,1.34499702393,1.21001299257
0.00175,1.14412280564,-0.208122505726
0.002,0.831253875555,-0.848108225273
0.00225,0.437016024449,-0.613763550335
0.0025,4.05564895132e-16,-0.365255605976
0.00275,-0.437016024449,-0.52053998815
0.003,-0.831253875555,-0.591678429656
0.00325,-1.14412280564,-0.217585131188
0.0035,-1.34499702393,0.153822795079
0.00375,-1.41421356237,0.048060370872
0.004,-1.34499702393,-0.205943806873
0.00425,-1.14412280564,0.000179828695983
0.0045,-0.831253875555,0.612307783914
0.00475,-0.437016024449,1.04202307602
0.005,-1.14008738609e-16,0.959624532824
0.00525,0.437016024449,0.452189378794
0.0055,0.831253875555,-0.365242438565
0.00575,1.14412280564,-1.25801527147
0.006,1.34499702393,-1.51942081863
0.00625,1.41421356237,-0.556528867468
0.0065,1.34499702393,1.02356754836
0.00675,1.14412280564,1.77271373242
0.007,0.831253875555,1.13919604716
0.00725,0.437016024449,0.0556563066563
0.0075,7.51947317626e-16,-0.468368723253
0.00775,-0.437016024449,-0.485071531332
0.008,-0.831253875555,-0.464714455978
0.00825,-1.14412280564,-0.368444574498
0.0085,-1.34499702393,-0.0103734375956
0.00875,-1.41421356237,0.257065531623
0.009,-1.34499702393,-0.0362609748303
0.00925,-1.14412280564,-0.691103752191
0.0095,-0.831253875555,-1.08289208431
0.00975,-0.437016024449,-0.978990520062
0.01,-4.60391161103e-16,-0.639010384431
0.01025,0.437016024449,-0.285160660652
0.0105,0.831253875555,0.107210224325
0.01075,1.14412280564,0.57646111488
0.011,1.34499702393,1.0567235343
0.01125,1.41421356237,1.43714697174
0.0115,1.34499702393,1.47133346118
0.01175,1.14412280564,0.813236646748
0.012,0.831253875555,-0.37947252464
0.01225,0.437016024449,-1.07037709454
0.0125,-1.41381819377e-15,-0.337177317348
0.01275,-0.437016024449,1.22449443116
0.013,-0.831253875555,1.89723325097
0.01325,-1.14412280564,0.876777820484
0.0135,-1.34499702393,-0.774808838518
0.01375,-1.41421356237,-1.50075521249
0.014,-1.34499702393,-0.955166192375
0.01425,-1.14412280564,0.033673583108
0.0145,-0.831253875555,0.635077396701
0.01475,-0.437016024449,0.585863230717
0.015,-8.06773583597e-16,-0.0256025664807
0.01525,0.437016024449,-0.849029574411
0.0155,0.831253875555,-1.28997745803
0.01575,1.14412280564,-1.05095429947
0.016,1.34499702393,-0.567031833255
0.01625,1.41421356237,-0.4025865999
0.0165,1.34499702393,-0.373352219111
0.01675,1.14412280564,0.160454728495
0.017,0.831253875555,1.13157355496
0.01725,0.437016024449,1.51369607164
0.0175,-3.57958370517e-15,0.60180059139
0.01775,-0.437016024449,-0.84403747401
0.018,-0.831253875555,-1.31498575098
0.01825,-1.14412280564,-0.343169578142
