t_s,signal_phase_set_a,signal_phase_set_b
0.0,0.36000000000000004,0.14
0.00016666666666666666,0.3537825301247445,0.1210498190141695
0.0003333333333333333,0.3355250855735181,0.10641483617668429
0.0005,0.3063801178340739,0.09616566289223501
0.0006666666666666666,0.26816317182690286,0.08985358931828392
0.0008333333333333334,0.22320508075688772,0.08660254037844384
0.001,0.1741640786499874,0.085238766907971
0.0011666666666666668,0.12381469628469577,0.08444389069619984
0.0013333333333333333,0.07483225528250947,0.08291495139744115
0.0015,0.02959196004329065,0.07951478980668845
0.0016666666666666668,-0.010000000000000044,0.07339745962155611
0.0018333333333333333,-0.042629122998435,0.06409623704512984
0.002,-0.0676393202250021,0.05156589330823902
0.0021666666666666666,-0.08503932273825658,0.03617578899352019
0.0023333333333333335,-0.09545008708234679,0.018655543234251618
0.0025,-0.1,1.2246467991473533e-17
0.0026666666666666666,-0.1001794330644144,-0.018655543234251636
0.0028333333333333335,-0.09766976879026362,-0.03617578899352023
0.003,-0.0941640786499874,-0.051565893308239054
0.0031666666666666666,-0.09119699827333666,-0.06409623704512984
0.0033333333333333335,-0.09000000000000002,-0.07339745962155615
0.0035,-0.09139535891828016,-0.07951478980668847
0.0036666666666666666,-0.09573794793604012,-0.08291495139744118
0.003833333333333333,-0.10290900363116509,-0.08444389069619998
0.004,-0.11236067977499789,-0.08523876690797098
0.004166666666666667,-0.12320508075688773,-0.08660254037844392
0.004333333333333333,-0.1343370505551312,-0.08985358931828388
0.0045,-0.14457671895908433,-0.096165662892235
0.004666666666666667,-0.15281599404499785,-0.1064148361766844
0.004833333333333334,-0.15815300997798332,-0.12104981901416959
0.005,-0.16,-0.13999999999999999
0.005166666666666667,-0.15815300997798332,-0.16263215717772128
0.005333333333333333,-0.1528159940449979,-0.18776216479184432
0.0055,-0.1445767189590844,-0.21372271335072962
0.005666666666666667,-0.1343370505551313,-0.23848255441376276
0.005833333333333334,-0.12320508075688778,-0.25980762113533157
0.006,-0.11236067977499795,-0.2754500701670017
0.006166666666666667,-0.10290900363116512,-0.28334826976985455
0.006333333333333333,-0.09573794793604018,-0.28181933047109575
0.0065,-0.09139535891828016,-0.2697260930657192
0.006666666666666667,-0.09,-0.24660254037844376
0.006833333333333334,-0.09119699827333667,-0.21272520214060872
0.007,-0.09416407864998737,-0.16912294376673373
0.007166666666666667,-0.09766976879026351,-0.11752311760868007
0.007333333333333333,-0.10017943306441437,-0.06023788139780348
0.0075,-0.10000000000000002,-2.265967966804556e-16
0.007666666666666666,-0.0954500870823467,0.060237881397803235
0.007833333333333333,-0.08503932273825648,0.1175231176086802
0.008,-0.06763932022500214,0.16912294376673356
0.008166666666666666,-0.042629122998435104,0.21272520214060847
0.008333333333333333,-0.009999999999999953,0.24660254037844392
0.0085,0.029591960043290934,0.2697260930657193
0.008666666666666666,0.07483225528250925,0.28181933047109575
0.008833333333333334,0.12381469628469587,0.2833482697698545
0.009,0.17416407864998731,0.27545007016700174
0.009166666666666667,0.22320508075688772,0.2598076211353318
0.009333333333333334,0.2681631718269031,0.2384825544137628
0.0095,0.3063801178340737,0.21372271335072981
0.009666666666666667,0.33552508557351807,0.18776216479184432
0.009833333333333333,0.3537825301247444,0.16263215717772142
0.01,0.36000000000000004,0.14000000000000007
0.010166666666666666,0.35378253012474453,0.12104981901416959
0.010333333333333333,0.33552508557351807,0.10641483617668424
0.0105,0.3063801178340737,0.09616566289223491
0.010666666666666666,0.268163171826903,0.08985358931828397
0.010833333333333334,0.22320508075688766,0.08660254037844392
0.011,0.1741640786499875,0.08523876690797097
0.011166666666666667,0.12381469628469582,0.08444389069619973
0.011333333333333334,0.07483225528250917,0.082914951397441
0.0115,0.029591960043290837,0.07951478980668841
0.011666666666666667,-0.010000000000000106,0.07339745962155601
0.011833333333333333,-0.04262912299843505,0.06409623704512989
0.012,-0.06763932022500233,0.05156589330823902
0.012166666666666666,-0.08503932273825658,0.03617578899352037
0.012333333333333333,-0.09545008708234679,0.018655543234251656
0.0125,-0.10000000000000006,-5.02476576032368e-17
0.012666666666666666,-0.10017943306441451,-0.018655543234251722
0.012833333333333334,-0.09766976879026362,-0.03617578899352044
0.013,-0.0941640786499874,-0.051565893308238825
0.013166666666666667,-0.09119699827333672,-0.06409623704512966
0.013333333333333334,-0.09000000000000002,-0.07339745962155611
0.0135,-0.09139535891828013,-0.07951478980668857
0.013666666666666667,-0.09573794793604012,-0.08291495139744126
0.013833333333333333,-0.10290900363116504,-0.0844438906961999
0.014,-0.11236067977499786,-0.08523876690797103
0.014166666666666666,-0.12320508075688757,-0.08660254037844421
0.014333333333333333,-0.13433705055513107,-0.08985358931828427
0.0145,-0.14457671895908442,-0.09616566289223477
0.014666666666666666,-0.15281599404499785,-0.10641483617668421
0.014833333333333334,-0.15815300997798332,-0.12104981901416952
0.015,-0.16,-0.14000000000000012
0.015166666666666667,-0.15815300997798337,-0.16263215717772153
0.015333333333333332,-0.15281599404499802,-0.18776216479184382
0.0155,-0.14457671895908447,-0.2137227133507293
0.015666666666666666,-0.1343370505551315,-0.23848255441376262
0.015833333333333335,-0.12320508075688777,-0.25980762113533157
0.016,-0.11236067977499795,-0.27545007016700196
0.016166666666666666,-0.10290900363116529,-0.2833482697698544
0.01633333333333333,-0.09573794793604026,-0.28181933047109575
0.0165,-0.0913953589182802,-0.2697260930657189
0.016666666666666666,-0.09000000000000002,-0.24660254037844392
0.016833333333333332,-0.09119699827333663,-0.21272520214060894
0.017,-0.09416407864998735,-0.16912294376673337
0.017166666666666667,-0.0976697687902634,-0.11752311760868003
0.017333333333333333,-0.10017943306441451,-0.060237881397803936
0.0175,-0.09999999999999977,9.458482357746367e-16
0.017666666666666667,-0.09545008708234681,0.060237881397803686
0.017833333333333333,-0.08503932273825673,0.11752311760867971
0.018,-0.06763932022500219,0.16912294376673345
0.018166666666666668,-0.04262912299843495,0.21272520214060878
0.018333333333333333,-0.009999999999999731,0.24660254037844417
0.0185,0.029591960043290483,0.26972609306571904
0.018666666666666668,0.07483225528251007,0.2818193304710961
0.018833333333333334,0.12381469628469605,0.2833482697698545
0.019,0.17416407864998695,0.27545007016700207
0.019166666666666665,0.22320508075688708,0.25980762113533207
0.019333333333333334,0.2681631718269029,0.23848255441376293
0.0195,0.30638011783407376,0.21372271335073
0.019666666666666666,0.33552508557351796,0.18776216479184454
0.019833333333333335,0.3537825301247446,0.16263215717772145
0.02,0.36000000000000004,0.13999999999999993
0.020166666666666666,0.3537825301247445,0.1210498190141694
0.02033333333333333,0.3355250855735184,0.10641483617668437
0.0205,0.3063801178340738,0.09616566289223426
0.020666666666666667,0.2681631718269029,0.08985358931828374
0.020833333333333332,0.22320508075688844,0.0866025403784438
0.021,0.17416407864998687,0.08523876690797072
0.021166666666666667,0.12381469628469592,0.08444389069619986
0.021333333333333333,0.07483225528250989,0.08291495139744134
0.0215,0.029591960043290996,0.07951478980668829
0.021666666666666667,-0.010000000000000023,0.07339745962155604
0.021833333333333333,-0.042629122998435263,0.06409623704512979
0.022,-0.06763932022500199,0.051565893308239366
0.022166666666666668,-0.08503932273825662,0.036175788993520565
0.022333333333333334,-0.09545008708234717,0.01865554323425187
0.0225,-0.1000000000000001,-1.8379605677395714e-16
0.02266666666666667,-0.10017943306441479,-0.018655543234251542
0.022833333333333334,-0.09766976879026366,-0.036175788993520586
0.023,-0.09416407864998752,-0.051565893308238554
0.023166666666666665,-0.09119699827333669,-0.06409623704512957
0.023333333333333334,-0.09000000000000002,-0.0733974596215561
0.0235,-0.09139535891828018,-0.07951478980668855
0.023666666666666666,-0.09573794793603997,-0.08291495139744123
0.023833333333333335,-0.10290900363116526,-0.08444389069619998
