t_ms,temporal,x_m,spatial
0.0,0.7071067811865476,0.0,0.7071067811865476
0.01,0.6959127965923143,0.0034000000000000002,0.7181262977631889
0.02,0.6845471059286886,0.0068000000000000005,0.7289686274214116
0.03,0.6730125135097734,0.0102,0.7396310949786097
0.04,0.6613118653236519,0.013600000000000001,0.7501110696304596
0.05,0.6494480483301837,0.017,0.7604059656000309
0.06,0.6374239897486897,0.0204,0.7705132427757893
0.07,0.6252426563357052,0.0238,0.7804304073383298
0.08,0.6129070536529766,0.027200000000000002,0.7901550123756904
0.09,0.6004202253258841,0.030600000000000002,0.7996846584870906
0.1,0.5877852522924731,0.034,0.8090169943749475
0.11,0.5750052520432786,0.0374,0.8181497174250235
0.12,0.5620833778521306,0.0408,0.8270805742745618
0.13,0.5490228179981318,0.0442,0.8358073613682703
0.14,0.5358267949789965,0.0476,0.8443279255020151
0.15,0.5224985647159489,0.051000000000000004,0.8526401643540923
0.16,0.5090414157503714,0.054400000000000004,0.8607420270039436
0.17,0.49545866843240755,0.057800000000000004,0.8686315144381913
0.18,0.4817536741017153,0.061200000000000004,0.8763066800438636
0.19,0.46792981426057334,0.0646,0.8837656300886935
0.2,0.4539904997395468,0.068,0.8910065241883679
0.21,0.43993916985591525,0.0714,0.8980275757606156
0.22,0.42577929156507266,0.0748,0.9048270524660196
0.23,0.4115143586051089,0.0782,0.9114032766354453
0.24,0.39714789063478056,0.0816,0.9177546256839811
0.25,0.38268343236508984,0.085,0.9238795325112867
0.26,0.3681245526846781,0.0884,0.9297764858882513
0.27,0.35347484377925714,0.0918,0.9354440308298674
0.28,0.3387379202452915,0.0952,0.9408807689542255
0.29,0.32391741819814956,0.09860000000000001,0.9460853588275453
0.3,0.30901699437494745,0.10200000000000001,0.9510565162951535
0.31,0.2940403252323041,0.10540000000000001,0.9557930147983301
0.32,0.2789911060392293,0.10880000000000001,0.9602936856769431
0.33,0.263873049965373,0.11220000000000001,0.9645574184577981
0.34,0.24868988716485474,0.11560000000000001,0.9685831611286311
0.35000000000000003,0.23344536385590547,0.11900000000000001,0.9723699203976766
0.36,0.2181432413965427,0.12240000000000001,0.9759167619387474
0.37,0.20278729535651271,0.12580000000000002,0.9792228106217657
0.38,0.18738131458572452,0.1292,0.9822872507286887
0.39,0.17192910027940952,0.1326,0.9851093261547739
0.4,0.15643446504023092,0.136,0.9876883405951378
0.41000000000000003,0.1409012319375828,0.13940000000000002,0.9900236577165575
0.42,0.12533323356430448,0.1428,0.9921147013144779
0.43,0.10973431109104537,0.1462,0.9939609554551797
0.44,0.09410831331851428,0.1496,0.99556196460308
0.45,0.078459095727845,0.15300000000000002,0.996917333733128
0.46,0.06279051952931353,0.1564,0.9980267284282716
0.47000000000000003,0.04710645070964268,0.1598,0.99888987496197
0.48,0.031410759078128396,0.1632,0.9995065603657316
0.49,0.01570731731182087,0.16660000000000003,0.9998766324816606
0.5,6.123233995736766e-17,0.17,1.0
0.51,-0.015707317311820526,0.1734,0.9998766324816606
0.52,-0.031410759078128056,0.1768,0.9995065603657316
0.53,-0.047106450709642776,0.18020000000000003,0.99888987496197
0.54,-0.0627905195293134,0.1836,0.9980267284282716
0.55,-0.07845909572784487,0.187,0.996917333733128
0.56,-0.09410831331851416,0.1904,0.99556196460308
0.5700000000000001,-0.10973431109104524,0.19380000000000003,0.9939609554551797
0.58,-0.12533323356430393,0.19720000000000001,0.9921147013144779
0.59,-0.1409012319375827,0.2006,0.9900236577165575
0.6,-0.1564344650402308,0.20400000000000001,0.9876883405951378
0.61,-0.17192910027940939,0.20740000000000003,0.9851093261547739
0.62,-0.18738131458572438,0.21080000000000002,0.9822872507286887
0.63,-0.20278729535651238,0.2142,0.9792228106217659
0.64,-0.21814324139654256,0.21760000000000002,0.9759167619387474
0.65,-0.23344536385590534,0.22100000000000003,0.9723699203976766
0.66,-0.24868988716485463,0.22440000000000002,0.9685831611286312
0.67,-0.26387304996537286,0.2278,0.9645574184577981
0.68,-0.27899110603922916,0.23120000000000002,0.9602936856769431
0.6900000000000001,-0.29404032523230395,0.23460000000000003,0.9557930147983301
0.7000000000000001,-0.30901699437494756,0.23800000000000002,0.9510565162951535
0.71,-0.3239174181981493,0.2414,0.9460853588275453
0.72,-0.33873792024529115,0.24480000000000002,0.9408807689542255
0.73,-0.35347484377925703,0.24820000000000003,0.9354440308298674
0.74,-0.36812455268467775,0.25160000000000005,0.9297764858882513
0.75,-0.3826834323650897,0.255,0.9238795325112867
0.76,-0.3971478906347807,0.2584,0.9177546256839811
0.77,-0.41151435860510854,0.26180000000000003,0.9114032766354453
0.78,-0.4257792915650727,0.2652,0.9048270524660196
0.79,-0.43993916985591514,0.2686,0.8980275757606156
0.8,-0.45399049973954675,0.272,0.8910065241883679
0.81,-0.46792981426057323,0.27540000000000003,0.8837656300886935
0.8200000000000001,-0.48175367410171505,0.27880000000000005,0.8763066800438635
0.8300000000000001,-0.4954586684324072,0.2822,0.8686315144381913
0.84,-0.5090414157503709,0.2856,0.8607420270039438
0.85,-0.5224985647159488,0.28900000000000003,0.8526401643540921
0.86,-0.5358267949789964,0.2924,0.8443279255020152
0.87,-0.5490228179981316,0.2958,0.8358073613682704
0.88,-0.5620833778521307,0.2992,0.8270805742745618
0.89,-0.5750052520432786,0.30260000000000004,0.8181497174250234
0.9,-0.587785252292473,0.30600000000000005,0.8090169943749473
0.91,-0.6004202253258839,0.3094,0.7996846584870906
0.92,-0.6129070536529763,0.3128,0.7901550123756904
0.93,-0.6252426563357049,0.31620000000000004,0.7804304073383296
0.9400000000000001,-0.6374239897486897,0.3196,0.7705132427757894
0.9500000000000001,-0.6494480483301835,0.323,0.760405965600031
0.96,-0.6613118653236517,0.3264,0.7501110696304596
0.97,-0.6730125135097734,0.32980000000000004,0.7396310949786096
0.98,-0.6845471059286884,0.33320000000000005,0.7289686274214114
0.99,-0.6959127965923143,0.3366,0.7181262977631889
1.0,-0.7071067811865475,0.34,0.7071067811865474
1.01,-0.7181262977631887,0.34340000000000004,0.6959127965923144
1.02,-0.7289686274214113,0.3468,0.6845471059286888
1.03,-0.7396310949786095,0.3502,0.6730125135097732
1.04,-0.7501110696304593,0.3536,0.6613118653236519
1.05,-0.7604059656000309,0.35700000000000004,0.6494480483301835
1.06,-0.7705132427757894,0.36040000000000005,0.6374239897486896
1.07,-0.7804304073383298,0.3638,0.6252426563357053
1.08,-0.7901550123756904,0.3672,0.6129070536529764
1.09,-0.7996846584870905,0.37060000000000004,0.6004202253258841
1.1,-0.8090169943749473,0.374,0.5877852522924734
1.11,-0.8181497174250233,0.3774,0.5750052520432785
1.12,-0.8270805742745616,0.3808,0.5620833778521308
1.1300000000000001,-0.83580736136827,0.38420000000000004,0.5490228179981316
1.1400000000000001,-0.8443279255020151,0.38760000000000006,0.5358267949789968
1.1500000000000001,-0.8526401643540924,0.391,0.5224985647159491
1.16,-0.8607420270039433,0.39440000000000003,0.5090414157503712
1.17,-0.8686315144381911,0.39780000000000004,0.4954586684324077
1.18,-0.8763066800438636,0.4012,0.48175367410171555
1.19,-0.8837656300886935,0.4046,0.46792981426057334
1.2,-0.8910065241883678,0.40800000000000003,0.453990499739547
1.21,-0.8980275757606155,0.41140000000000004,0.4399391698559151
