representation,frequency_hz,linear_power,relative_db,lower_hz,upper_hz
bin,100.0,0.05000000000000272,-13.051948833822332,,
bin,106.36630782521887,0.05694165367318701,-12.48734812144583,,
bin,113.13791440369205,0.04821121228591312,-13.210168356282754,,
bin,120.34062230166371,0.04351929722422828,-13.654830142198806,,
bin,128.00187675617147,0.05345879346146059,-12.761457349988973,,
bin,136.15087025252663,0.055589409807090484,-12.591728245608905,,
bin,144.81865375951668,0.04510087726120403,-13.49979898257283,,
bin,154.0382550461854,0.04567304056395417,-13.445049631226224,,
bin,163.84480453102114,0.05601413459239314,-12.558672571243633,,
bin,174.2756691430941,0.05277719144547367,-12.81718612334183,,
bin,185.37059470520325,0.043270241710423665,-13.679755665151598,,
bin,197.17185738157534,0.048957109558510056,-13.14349118691991,,
bin,209.72442476718774,0.05699897688166895,-12.482978274604042,,
bin,223.07612723253646,0.049240790510512944,-13.118398712494546,,
bin,237.2778401767364,0.04320092072787984,-13.686718848205766,,
bin,252.38367788341827,0.05252639754794053,-12.83787271394511,,
bin,268.4511997180852,0.056195022100820745,-12.544670413644168,,
bin,285.54162945263164,0.04599035206270153,-13.414981535453398,,
bin,303.7200885527317,0.04512978342160995,-13.497016383777307,,
bin,323.0558443170259,0.056107842125694356,-12.551413214016394,,
bin,343.62257381360723,0.055277574230861166,-12.61615911262166,,
bin,365.4986446195214,0.04646900055134642,-13.370015558828968,,
bin,388.76741343300245,0.05449513120545325,-12.678071851675144,,
bin,413.51754369628867,0.07243618937807297,-11.442092922331424,,
bin,439.84334343927793,0.07628398040055485,-11.217315418223336,,
bin,467.84512463135695,0.0829864006713102,-10.851579591652245,,
bin,497.62958541066746,0.13302219530966092,-8.802407768543,,
bin,529.310216647271,0.2012977986900532,-7.003258620695124,,
bin,563.0077343893686,0.23027870053123195,-6.419111176634564,,
bin,598.8505398403864,0.2965827279155261,-5.320190322915784,,
bin,636.9752086196097,0.48505634211777293,-3.183727003537851,,
bin,677.5270111706641,0.6163188044208634,-2.143594690844212,,
bin,720.6604663007929,0.6084795495967706,-2.199189011201832,,
bin,766.539929960159,0.7541771851993998,-1.2669149739976773,,
bin,815.340221504639,1.0096361398535683,0.0,,
bin,867.2472898284457,0.966402033804408,-0.1900705246242939,,
bin,922.4589219047916,0.813997267889117,-0.9354194049820421,,
bin,981.1854964344459,0.9133139720285605,-0.4354478611056153,,
bin,1043.6507854738647,0.9362039952169114,-0.3279439758680058,,
bin,1110.0928070974444,0.6814785472883542,-1.7071269877419046,,
bin,1180.7647323428796,0.5159576754296248,-2.9155081027955725,,
bin,1255.9358498954489,0.503222333938982,-3.024049800600479,,
bin,1335.8925921870718,0.3931754201600177,-4.095785281577204,,
bin,1420.939626819995,0.23494554050834826,-6.33197681606791,,
bin,1511.4010174738708,0.1752054580088836,-7.606172565128188,,
bin,1607.6214587197474,0.1556889277425873,-8.119071601294861,,
bin,1709.9675894461202,0.10966790831290764,-9.640853274327208,,
bin,1818.829389901733,0.07543149462051368,-11.266121746860009,,
bin,1934.6216676784259,0.08530434321066467,-10.731937441895978,,
bin,2057.7856382962173,0.1187786783329557,-9.294263992061133,,
bin,2188.790606413299,0.14194750950844456,-8.520371105550835,,
bin,2328.135754067042,0.18423158113609905,-7.388008083421884,,
bin,2476.352042759928,0.3182495107181638,-5.0139714308328145,,
bin,2634.0042366381203,0.4400807878185053,-3.6063247831582403,,
bin,2801.69305447181,0.42580486564503217,-3.7495426793228215,,
bin,2980.057458637259,0.45214918125447134,-3.488831389548345,,
bin,3169.777089822498,0.533318928546893,-2.7717788978904174,,
bin,3371.5748567338624,0.4389064184486458,-3.617929558219299,,
bin,3586.219690671222,0.27833589564853706,-5.595956688912279,,
bin,3814.5294754679603,0.22143394775287972,-6.589206849445368,,
bin,4057.374163959953,0.1762009811580533,-7.581565653088637,,
bin,4315.679092858544,0.10384263855280244,-9.877891730697252,,
bin,4590.428508658532,0.06453096232465984,-11.943967461014138,,
bin,4882.669318016333,0.06248055515872294,-12.084200079934169,,
bin,5193.515076888762,0.0605053819357458,-12.223708809824975,,
bin,5524.150233632653,0.04744834846365414,-13.279437871953066,,
bin,5875.834642233255,0.04481855943626506,-13.527069944423776,,
bin,6249.908362858665,0.05512394004880597,-12.628246359975801,,
bin,6647.796768032338,0.054193794034631225,-12.702153312689862,,
bin,7071.015973880228,0.04389292664502118,-13.61770348490796,,
bin,7521.178617147841,0.04740074672893986,-13.283797043204856,,
bin,8000.0,0.056780205553217306,-12.499679273116984,,
octave_band_theoretical,250.0,0.5528950108786238,-11.65630195201681,176.77669529663686,353.5533905932738
octave_band_theoretical,500.0,2.2952272711918464,-5.474471708208599,353.5533905932737,707.1067811865476
octave_band_theoretical,1000.0,8.096044120405715,0.0,707.1067811865474,1414.213562373095
octave_band_theoretical,2000.0,2.465336605563105,-5.163966420394125,1414.2135623730949,2828.42712474619
octave_band_theoretical,4000.0,2.439153239245065,-5.210337806218539,2828.4271247461897,5656.85424949238
