t_s,ideal,sum_1_odd_terms,sum_3_odd_terms,sum_5_odd_terms,sum_10_odd_terms
-0.0125,-1.0,-1.2732395447351628,-1.1034742721038078,-1.0630539690963423,-0.9682476228907636
-0.012491663887962655,-1.0,-1.2732220798412215,-1.1034218812549226,-1.0629666637902069,-0.9684221137740849
-0.012483327775925309,-1.0,-1.2731696856385264,-1.1032647561358664,-1.0627049801512287,-0.9689436876915369
-0.012474991663887963,-1.0,-1.2730823635644488,-1.1030030389915453,-1.0622696144249122,-0.9698066688994597
-0.012466655551850617,-1.0,-1.2729601160145645,-1.1026369667705385,-1.061661725045963,-0.9710016657865367
-0.012458319439813272,-1.0,-1.272802946342587,-1.102166870935788,-1.0608829296816669,-0.9725156720547455
-0.012449983327775926,-1.0,-1.2726108588602763,-1.1015931771997671,-1.0599353011027848,-0.9743322068585362
-0.01244164721573858,-1.0,-1.2723838588373204,-1.1009164051843026,-1.058821361892082,-0.976431492407246
-0.012433311103701234,-1.0,-1.2721219525011904,-1.1001371680053063,-1.0575440780034882,-0.9787906671359452
-0.012424974991663888,-1.0,-1.2718251470369704,-1.099256171782715,-1.0561068511876837,-0.9813840321699014
-0.012416638879626542,-1.0,-1.2714934505871593,-1.098274215075987,-1.054513510302699,-0.9841833284520862
-0.012408302767589197,-1.0,-1.2711268722514482,-1.0971921882455713,-1.0527683015308715,-0.9871580415750852
-0.01239996665555185,-1.0,-1.2707254220864708,-1.0960110727408054,-1.050875877526166,-0.9902757310619955
-0.012391630543514505,-1.0,-1.270289111105527,-1.0947319403147582,-1.0488412855185176,-0.9935023805785782
-0.012383294431477159,-1.0,-1.2698179512782812,-1.0933559521665865,-1.0466699544044225,-0.996802765333773
-0.012374958319439813,-1.0,-1.2693119555304337,-1.0918843580120257,-1.044367680855491,-1.0001408327402872
-0.012366622207402467,-1.0,-1.2687711377433664,-1.090318495082677,-1.0419406144791197,-1.0034800922628944
-0.012358286095365122,-1.0,-1.2681955127537614,-1.0886597870548371,-1.0393952420677663,-1.0067840102814558
-0.012349949983327776,-1.0,-1.2675850963531945,-1.0869097429086167,-1.0367383709755915,-1.010016405739039
-0.01234161387129043,-1.0,-1.266939905287702,-1.0850699557181995,-1.0339771116633554,-1.0131418423338618
-0.012333277759253086,-1.0,-1.2662599572573208,-1.0831421013740936,-1.0311188594545744,-1.0161260130470766
-0.01232494164721574,-1.0,-1.265545270915603,-1.081127937238321,-1.0281712755478702,-1.0189361128765348
-0.012316605535178394,-1.0,-1.264795865869105,-1.0790293007334995,-1.025142267332321,-1.0215411957684233
-0.012308269423141048,-1.0,-1.264011762676848,-1.0768481078668504,-1.022039968054371,-1.0239125119035049
-0.012299933311103703,-1.0,-1.2631929828497552,-1.0745863516901992,-1.0188727158864714,-1.0260238217000077
-0.012291597199066357,-1.0,-1.2623395488500617,-1.0722461006970765,-1.0156490324491532,-1.0278516831398117
-0.012283261087029011,-1.0,-1.2614514840906978,-1.0698294971580897,-1.0123776008396301,-1.0293757093051106
