x_over_lambda,normalized_amplitude
0.0,1.0
0.00125,0.9999691576447897
0.0025,0.9998766324816606
0.00375,0.9997224302180006
0.005,0.9995065603657316
0.00625,0.9992290362407229
0.0075,0.99888987496197
0.00875,0.9984890974505379
0.01,0.9980267284282716
0.01125,0.99750279641627
0.0125,0.996917333733128
0.01375,0.9962703764929413
0.015,0.99556196460308
0.01625,0.9947921417617265
0.0175,0.9939609554551797
0.01875,0.9930684569549263
0.02,0.9921147013144779
0.02125,0.9910997473659748
0.0225,0.9900236577165575
0.02375,0.9888864987445046
0.025,0.9876883405951378
0.02625,0.9864292571764954
0.0275,0.9851093261547739
0.02875,0.9837286289495359
0.03,0.9822872507286887
0.03125,0.9807852804032304
0.0325,0.9792228106217657
0.03375,0.9775999377647907
0.035,0.9759167619387474
0.03625,0.9741733869698493
0.0375,0.9723699203976766
0.03875,0.9705064734685425
0.04,0.9685831611286311
0.04125,0.9666001020169073
0.0425,0.9645574184577981
0.043750000000000004,0.9624552364536473
0.045,0.9602936856769431
0.04625,0.9580728994623192
0.0475,0.9557930147983301
0.04875,0.9534541723190012
0.05,0.9510565162951535
0.051250000000000004,0.9486001946255046
0.0525,0.9460853588275453
0.05375,0.9435121640281936
0.055,0.9408807689542255
0.05625,0.9381913359224842
0.0575,0.9354440308298673
0.058750000000000004,0.9326390231430941
0.06,0.9297764858882515
0.06125,0.9268565956401208
0.0625,0.9238795325112867
0.06375,0.9208454801410263
0.065,0.9177546256839811
0.06625,0.9146071597986136
0.0675,0.9114032766354453
0.06875,0.9081431738250813
0.07,0.9048270524660195
0.07125000000000001,0.9014551171122457
0.0725,0.8980275757606156
0.07375,0.8945446398380251
0.075,0.8910065241883679
0.07625,0.8874134470592833
0.0775,0.8837656300886935
0.07875,0.880063298291132
0.08,0.8763066800438636
0.08125,0.8724960070727972
0.0825,0.8686315144381912
0.08375,0.8647134405201551
0.085,0.8607420270039436
0.08625000000000001,0.8567175188650497
0.08750000000000001,0.8526401643540923
0.08875,0.8485102149815037
0.09,0.8443279255020151
0.09125,0.8400935538989419
0.0925,0.8358073613682703
0.09375,0.8314696123025452
0.095,0.8270805742745618
0.09625,0.8226405180208598
0.0975,0.8181497174250235
0.09875,0.813608449500787
0.1,0.8090169943749475
0.10125,0.8043756352700845
0.10250000000000001,0.7996846584870906
0.10375000000000001,0.79494435338751
0.105,0.7901550123756904
0.10625,0.785316930880745
0.1075,0.7804304073383298
0.10875,0.7754957431722345
0.11,0.7705132427757893
0.11125,0.7654832134930881
0.1125,0.7604059656000309
0.11375,0.7552818122851835
0.115,0.7501110696304596
0.11625,0.744894056591622
0.11750000000000001,0.7396310949786097
0.11875000000000001,0.7343225094356856
0.12,0.7289686274214116
0.12125,0.7235697791884493
0.1225,0.7181262977631889
0.12375,0.7126385189252054
0.125,0.7071067811865476
0.12625,0.7015314257708558
0.1275,0.6959127965923143
0.12875,0.6902512402344372
0.13,0.6845471059286886
0.13125,0.6788007455329418
0.1325,0.6730125135097733
0.13375,0.6671827669045997
0.135,0.6613118653236518
0.13625,0.6554001709117939
0.1375,0.6494480483301835
0.13875,0.6434558647337789
0.14,0.6374239897486896
0.14125000000000001,0.6313527954493776
0.14250000000000002,0.6252426563357052
0.14375000000000002,0.619093949309834
0.145,0.6129070536529766
0.14625,0.6066823510019997
0.1475,0.6004202253258841
0.14875,0.5941210629020386
0.15,0.5877852522924731
