frequency_hz,peak_magnitude_pa,phase_rad
0.0,6.605826996519681e-17,0.0
20.0,6.669404150246872e-17,0.6626407091823345
40.0,2.0515064628199868e-17,0.8263427738826502
60.0,7.442832059817424e-18,0.42938267759602466
80.0,5.545019860126703e-17,0.561457757643934
100.0,0.2,-1.5707963267948966
120.0,1.3737251439717744e-17,-1.9387488538684303
140.0,5.113043816135646e-17,0.40043706922372785
160.0,1.7081458307180777e-17,-0.48328868367500594
180.0,4.380614663927547e-17,0.889521231466602
200.0,0.05000000000000002,5.218048215738234e-16
220.0,4.160393282552889e-17,1.220186618401315
240.0,6.069173999324289e-17,1.8335320340794463
260.0,2.822181965560316e-17,2.908374299706767
280.0,2.5139906836628106e-17,0.09769561524497665
300.0,4.8137385559158064e-17,2.009143280933895
320.0,2.7290341307507595e-17,2.8558422423131646
340.0,1.0295036666412828e-17,1.881772957414505
360.0,1.7545530805859394e-17,-0.9291863434455282
380.0,5.588053970092566e-17,1.8879943425267973
400.0,3.0286618317201917e-17,-1.9460599951202393
420.0,1.8959124911721042e-17,0.9193008404878333
440.0,3.1407415942317036e-17,2.5305383475982843
460.0,1.3712451433746939e-17,1.1776531142149056
480.0,3.3096139727353437e-18,-0.21072909433647366
500.0,2.5387311933257875e-17,2.9863560180318682
520.0,7.534783960833669e-18,2.1812365159963343
540.0,1.7279050471699368e-17,2.945976430635692
560.0,2.7807152662128003e-17,1.4304625754470623
580.0,3.115818289068222e-17,2.0685564407795525
600.0,3.403200493864779e-17,-2.472761115777351
620.0,3.220265663967316e-17,1.1323795935306884
640.0,5.925660948717371e-17,-2.840925880324547
660.0,1.9520972664962517e-17,-2.679204321291986
680.0,1.6411532254518877e-17,-2.177099670232562
700.0,3.677820004689548e-17,-0.24169593989021218
720.0,4.0059004406198135e-17,3.086104297438458
740.0,3.9744474207117113e-17,-1.3686600546628758
760.0,2.8923690738407345e-17,0.14633098628530553
780.0,2.837093644548856e-17,1.2302695181180359
800.0,2.476265524339243e-17,-3.000947665923235
820.0,1.5078720826885374e-17,0.7056712410728557
840.0,2.7255532293265147e-17,3.0626910220804318
860.0,2.0657396102397234e-17,-1.8808038733268366
880.0,2.3021886699435e-17,-1.9762032599107568
900.0,1.3369819161880342e-17,-0.9381159307640691
920.0,3.74975111218047e-17,2.970442809942163
940.0,4.8450727303633645e-17,-1.243690573093732
960.0,4.8535816359377306e-17,-0.45199482903923405
980.0,2.742335503408554e-17,0.8556060140767525
1000.0,2.1101540302601823e-17,2.524401262049431
1020.0,2.3055074125989348e-17,-1.188878965297053
1040.0,2.0686673708116356e-17,1.110123718636662
1060.0,1.57520406974471e-17,0.7517317372913693
1080.0,1.240465852837221e-17,0.02555837111236127
1100.0,1.2760519993916293e-17,2.5626726897660945
1120.0,8.172033705885822e-18,1.8798601141061684
1140.0,8.731194905111716e-18,-2.1949221233039835
1160.0,1.77988716301474e-17,0.041060329027728125
1180.0,2.351641535076926e-17,2.006982059827824
1200.0,6.97957796603024e-18,-2.7965044165028403
1220.0,1.4203573282322933e-17,-0.11831512658706819
1240.0,2.390961051384334e-18,1.506217990196122
1260.0,7.098943398404922e-18,0.30901663140815533
1280.0,5.343532968350423e-18,1.8535884656594745
1300.0,7.589923832861985e-18,0.010400316836577226
1320.0,2.3551966468062597e-17,-2.963596406496414
1340.0,1.6113601155665517e-17,-0.392368803123806
1360.0,1.763855815698457e-17,0.793446377295952
1380.0,9.38479033271328e-18,-2.4154565268675166
1400.0,7.96734097296982e-18,-1.3532431135972798
1420.0,2.3881008011624987e-17,-0.1830845556012098
1440.0,2.3384953280613207e-17,0.6753868895172384
1460.0,1.3920691839786758e-17,2.513342321599891
1480.0,1.162439514279178e-17,1.0044658252998895
1500.0,1.7749921923629947e-17,0.22298403124927688
1520.0,3.3320276268686245e-17,2.4446541254586656
1540.0,1.2707033808241415e-17,-2.911453132932311
1560.0,1.7223635220863845e-17,0.8851898003196125
1580.0,1.7009616978872575e-17,-2.2259756972950746
1600.0,2.4898212693288757e-17,2.1621037033717014
1620.0,2.9442389348979434e-17,-1.4523679730039667
1640.0,1.3082676349764681e-17,0.6242651899013233
1660.0,2.199821959738097e-17,1.9789418263968563
1680.0,1.417921079382679e-17,-0.6442692222479052
1700.0,3.069084229243012e-17,1.7378610607427325
1720.0,2.770431552796657e-17,1.9108624846358897
1740.0,1.8876906563568716e-17,-2.850406562129979
1760.0,6.19754995512467e-18,2.3252504827586673
1780.0,2.7265114296022245e-18,1.824162399149274
1800.0,3.852729846145627e-17,2.50961841177119
1820.0,3.06248443610154e-17,-1.9845639320555113
1840.0,1.1419748857980039e-17,-0.7549044880064782
1860.0,1.0563944964138658e-17,2.3017716668352595
1880.0,8.16656235682598e-18,-1.7443560503896482
1900.0,1.9502118998139443e-17,1.9962459641649388
1920.0,4.827530728056156e-18,-2.1050661819612886
1940.0,1.2740568869136735e-18,-1.8338215060210872
1960.0,1.1206112461101877e-17,-2.070803802674052
1980.0,1.2787239223304325e-17,1.097191832962346
2000.0,2.942091015256665e-17,3.141592653589793
