t_s,y_1_hz,y_2_hz,t_ms_500Hz,y_500_hz
0.0,1.0,1.0,0.0,1.0
0.002,0.9999210442038161,0.9996841892832999,0.004,0.9999210442038161
0.004,0.9996841892832999,0.9987369566060175,0.008,0.9996841892832999
0.006,0.9992894726405892,0.9971589002606139,0.012,0.9992894726405892
0.008,0.9987369566060175,0.9949510169813002,0.016,0.9987369566060175
0.01,0.9980267284282716,0.9921147013144779,0.02,0.9980267284282716
0.012,0.9971589002606139,0.9886517447379141,0.024,0.9971589002606139
0.014,0.9961336091431725,0.9845643345292053,0.028,0.9961336091431725
0.016,0.9949510169813002,0.9798550523842469,0.032,0.9949510169813002
0.018000000000000002,0.9936113105200084,0.9745268727865771,0.036000000000000004,0.9936113105200084
0.02,0.9921147013144779,0.9685831611286311,0.04,0.9921147013144779
0.022,0.9904614256966512,0.9620276715860859,0.044,0.9904614256966512
0.024,0.9886517447379141,0.954864544746643,0.048,0.9886517447379141
0.026000000000000002,0.986685944207868,0.9470983049947442,0.052000000000000005,0.986685944207868
0.028,0.9845643345292053,0.9387338576538741,0.056,0.9845643345292053
0.03,0.9822872507286887,0.9297764858882515,0.06,0.9822872507286887
0.032,0.9798550523842469,0.9202318473658704,0.064,0.9798550523842469
0.034,0.9772681235681935,0.9101059706849957,0.068,0.9772681235681935
0.036000000000000004,0.9745268727865771,0.8994052515663711,0.07200000000000001,0.9745268727865771
0.038,0.971631732914674,0.8881364488135446,0.076,0.971631732914674
0.04,0.9685831611286311,0.8763066800438636,0.08,0.9685831611286311
0.042,0.9653816388332739,0.8639234171928353,0.084,0.9653816388332739
0.044,0.9620276715860859,0.850994481794692,0.088,0.9620276715860859
0.046,0.9585217890173758,0.8375280400421418,0.092,0.9585217890173758
0.048,0.954864544746643,0.8235325976284275,0.096,0.954864544746643
0.05,0.9510565162951535,0.8090169943749475,0.1,0.9510565162951535
0.052000000000000005,0.9470983049947442,0.7939903986478353,0.10400000000000001,0.9470983049947442
0.054,0.9429905358928645,0.7784623015670235,0.108,0.9429905358928645
0.056,0.9387338576538741,0.7624425110114479,0.112,0.9387338576538741
0.058,0.934328942456612,0.7459411454241821,0.116,0.934328942456612
0.06,0.9297764858882515,0.7289686274214116,0.12,0.9297764858882515
0.062,0.925077206834458,0.7115356772092853,0.124,0.925077206834458
0.064,0.9202318473658704,0.6936533058128049,0.128,0.9202318473658704
0.066,0.9152411726209175,0.6753328081210244,0.132,0.9152411726209175
0.068,0.9101059706849957,0.6565857557529564,0.136,0.9101059706849957
0.07,0.9048270524660195,0.6374239897486896,0.14,0.9048270524660196
0.07200000000000001,0.8994052515663711,0.6178596130903342,0.14400000000000002,0.8994052515663711
0.074,0.8938414241512638,0.5979049830575189,0.148,0.8938414241512638
0.076,0.8881364488135446,0.5775727034222676,0.152,0.8881364488135446
0.078,0.8822912264349533,0.5568756164881881,0.156,0.8822912264349533
0.08,0.8763066800438636,0.5358267949789965,0.16,0.8763066800438636
0.082,0.8701837546695257,0.5144395337815064,0.164,0.8701837546695257
0.084,0.8639234171928353,0.49272734154829156,0.168,0.8639234171928353
0.08600000000000001,0.8575266561936522,0.4707039321653325,0.17200000000000001,0.8575266561936522
0.088,0.850994481794692,0.44838321609003245,0.176,0.850994481794692
0.09,0.8443279255020151,0.42577929156507266,0.18,0.8443279255020152
0.092,0.8375280400421418,0.4029064357136627,0.184,0.8375280400421418
0.094,0.8305958991958127,0.3797790955218011,0.188,0.8305958991958127
0.096,0.8235325976284275,0.35641187871325075,0.192,0.8235325976284275
0.098,0.8163392507171839,0.3328195445229867,0.196,0.8163392507171839
0.1,0.8090169943749475,0.30901699437494745,0.2,0.8090169943749475
0.10200000000000001,0.8015669848708766,0.28501926246997616,0.20400000000000001,0.8015669848708766
0.10400000000000001,0.7939903986478353,0.2608415062898968,0.20800000000000002,0.7939903986478353
0.106,0.7862884321366189,0.23649899702372476,0.212,0.786288432136619
0.108,0.7784623015670235,0.21200710992205474,0.216,0.7784623015670235
0.11,0.7705132427757893,0.18738131458572474,0.22,0.7705132427757893
0.112,0.7624425110114479,0.16263716519488372,0.224,0.7624425110114479
0.114,0.7542513807361038,0.13779029068463797,0.228,0.7542513807361039
0.116,0.7459411454241821,0.1128563848734816,0.232,0.7459411454241821
0.11800000000000001,0.7375131173581739,0.0878511965507431,0.23600000000000002,0.7375131173581739
0.12,0.7289686274214116,0.06279051952931353,0.24,0.7289686274214116
