f_Hz,Spp_Pa2_per_Hz
125,8e-12
126.046157891,7.93360160063e-12
127.101071353,7.86775429469e-12
128.164813664,7.80245350821e-12
129.237458713,7.7376947052e-12
130.319081012,7.6734733873e-12
131.409755692,7.60978509348e-12
132.509558515,7.54662539976e-12
133.618565878,7.48398991886e-12
134.736854814,7.42187429992e-12
135.864503006,7.36027422819e-12
137.001588782,7.29918542473e-12
138.148191127,7.23860364612e-12
139.30438969,7.17852468415e-12
140.470264783,7.11894436554e-12
141.645897391,7.05985855165e-12
142.831369177,7.0012631382e-12
144.026762489,6.94315405496e-12
145.232160362,6.88552726548e-12
146.447646528,6.82837876682e-12
147.673305416,6.77170458927e-12
148.909222167,6.71550079606e-12
150.15548263,6.65976348308e-12
151.412173374,6.60448877865e-12
152.679381694,6.5496728432e-12
153.957195614,6.49531186905e-12
155.245703895,6.44140208011e-12
156.544996041,6.38793973164e-12
157.855162305,6.33492110995e-12
159.176293695,6.28234253222e-12
160.508481981,6.23020034617e-12
161.851819701,6.17849092983e-12
163.206400168,6.12721069129e-12
164.572317476,6.07635606848e-12
165.949666505,6.02592352886e-12
167.338542931,5.97590956923e-12
168.739043228,5.92631071546e-12
170.151264681,5.87712352225e-12
171.575305388,5.8283445729e-12
173.011264265,5.77997047908e-12
174.45924106,5.73199788055e-12
175.919336354,5.68442344499e-12
177.39165157,5.63724386773e-12
178.876288979,5.59045587152e-12
180.37335171,5.54405620632e-12
181.882943752,5.49804164905e-12
183.405169967,5.45240900341e-12
184.940136094,5.40715509959e-12
186.487948756,5.36227679412e-12
188.04871547,5.31777096961e-12
189.622544652,5.27363453453e-12
191.209545623,5.22986442304e-12
192.809828624,5.18645759471e-12
194.423504814,5.14341103437e-12
196.050686284,5.10072175188e-12
197.691486065,5.05838678188e-12
199.34601813,5.01640318367e-12
201.01439741,4.97476804092e-12
202.696739795,4.93347846152e-12
204.393162146,4.89253157738e-12
206.103782302,4.85192454418e-12
207.828719089,4.81165454123e-12
209.568092325,4.77171877125e-12
211.322022833,4.73211446016e-12
213.090632448,4.69283885694e-12
214.874044021,4.65388923336e-12
216.672381436,4.61526288387e-12
218.485769609,4.57695712535e-12
220.314334505,4.53896929696e-12
222.158203142,4.50129675995e-12
224.017503601,4.46393689746e-12
225.892365034,4.42688711435e-12
227.782917677,4.39014483702e-12
229.689292851,4.35370751325e-12
231.611622982,4.31757261197e-12
233.550041598,4.28173762315e-12
235.504683351,4.24620005756e-12
237.475684014,4.21095744666e-12
239.463180501,4.17600734237e-12
241.467310869,4.14134731696e-12
243.488214331,4.10697496283e-12
245.526031266,4.07288789235e-12
247.580903227,4.03908373775e-12
249.652972952,4.00556015086e-12
251.742384374,3.97231480303e-12
253.84928263,3.93934538494e-12
255.973814072,3.90664960643e-12
258.116126277,3.87422519633e-12
260.276368056,3.84206990235e-12
262.454689467,3.81018149088e-12
264.651241823,3.77855774684e-12
266.866177703,3.74719647355e-12
269.099650965,3.71609549255e-12
271.351816753,3.68525264348e-12
273.622831508,3.65466578388e-12
275.912852983,3.62433278909e-12
278.222040251,3.5942515521e-12
280.550553715,3.56441998335e-12
282.89855512,3.53483601065e-12
285.266207567,3.50549757901e-12
287.653675521,3.47640265048e-12
290.061124822,3.44754920403e-12
292.4887227,3.41893523542e-12
294.936637783,3.39055875702e-12
297.405040111,3.36241779772e-12
299.894101148,3.33451040274e-12
302.403993792,3.30683463357e-12
304.934892388,3.27938856773e-12
307.48697274,3.25217029876e-12
310.060412124,3.22517793597e-12
312.6553893,3.19840960439e-12
315.272084522,3.17186344461e-12
317.910679555,3.14553761264e-12
320.571357684,3.11943027981e-12
323.254303729,3.09353963262e-12
325.959704055,3.06786387262e-12
328.687746588,3.04240121629e-12
331.438620827,3.01714989492e-12
334.212517857,2.99210815446e-12
337.00963036,2.96727425543e-12
339.830152634,2.9426464728e-12
342.674280601,2.91822309584e-12
345.542211824,2.89400242801e-12
348.434145517,2.86998278689e-12
351.350282565,2.84616250398e-12
354.290825531,2.82253992466e-12
357.255978675,2.79911340801e-12
360.245947965,2.77588132677e-12
363.260941095,2.75284206715e-12
366.301167497,2.72999402878e-12
369.366838352,2.70733562455e-12
372.458166614,2.68486528055e-12
375.575367016,2.6625814359e-12
378.718656088,2.64048254271e-12
381.888252173,2.61856706591e-12
385.084375442,2.59683348319e-12
388.307247908,2.57528028485e-12
391.557093441,2.55390597374e-12
394.834137787,2.53270906514e-12
398.138608579,2.51168808664e-12
401.470735357,2.49084157806e-12
404.83074958,2.47016809132e-12
408.218884647,2.44966619039e-12
411.635375907,2.42933445114e-12
415.080460682,2.40917146125e-12
418.554378278,2.38917582015e-12
422.057370005,2.36934613887e-12
425.58967919,2.34968103997e-12
429.151551201,2.33017915746e-12
432.743233456,2.31083913667e-12
436.364975445,2.29165963419e-12
440.017028746,2.27263931773e-12
443.699647041,2.2537768661e-12
447.413086138,2.23507096905e-12
451.157603984,2.2165203272e-12
454.933460686,2.19812365196e-12
458.740918525,2.17987966544e-12
462.580241981,2.16178710037e-12
466.451697745,2.14384469996e-12
470.355554741,2.12605121789e-12
474.292084144,2.10840541816e-12
478.261559397,2.09090607504e-12
482.264256233,2.07355197296e-12
486.300452692,2.05634190646e-12
490.370429141,2.03927468006e-12
