t_s,p_mPa
0,-0.00645261881026
0.0005,-1.10790224437
0.001,-0.0829822784224
0.0015,0.160492200862
0.002,-1.71715172913
0.0025,-1.84130240571
0.003,-0.67204345963
0.0035,-1.01009242513
0.004,-0.253821032867
0.0045,1.15063721081
0.005,0.113333428654
0.0055,-0.451710351197
0.006,1.10850875408
0.0065,1.35051728653
0.007,0.227934852906
0.0075,1.05993649557
0.008,2.08248934168
0.0085,0.120943206952
0.009,-1.04020356913
0.0095,-0.245867714368
0.01,-1.21888531793
0.0105,-1.01997953609
0.011,0.849194568691
0.0115,-0.356303094015
0.012,-1.34719868501
0.0125,-0.18367718429
0.013,-0.43210837767
0.0135,-0.205992666177
0.014,0.703630039572
0.0145,-0.377215539644
0.015,-0.88479873599
0.0155,0.409736085084
0.016,1.39245150303
0.0165,1.42130324618
0.017,0.812289676996
0.0175,0.38905270274
0.018,-0.252147908612
0.0185,-1.06945315182
0.019,-0.333949170653
0.0195,-0.0365589120521
0.02,-1.00087295044
0.0205,0.132626599432
0.021,1.25770512049
0.0215,0.152531962334
0.022,-0.288179384811
0.0225,-0.655928127427
0.023,-0.849879835215
0.0235,0.502514953325
0.024,0.359637045871
0.0245,-0.389889133065
0.025,0.310150724441
0.0255,-0.155841193743
0.026,-0.421260767609
0.0265,1.19705453831
0.027,0.906381965337
0.0275,-1.69010468425
0.028,-1.81015219393
0.0285,0.651303529991
0.029,0.670278040854
0.0295,-0.372927517453
0.03,1.27581611667
0.0305,1.29450935328
0.031,-0.891899378794
0.0315,-0.200038349246
0.032,0.689799379551
0.0325,-0.402577531858
0.033,-0.371041212999
0.0335,-0.694888233067
0.034,-1.45671795884
0.0345,0.659202542791
0.035,2.45676642392
0.0355,1.00509711419
0.036,-0.0924809636123
0.0365,-0.184318133061
0.037,-1.18617661902
0.0375,-1.28788627856
0.038,-0.218573733799
0.0385,-0.325444586436
0.039,-0.592966293911
0.0395,0.200378923329
0.04,-0.144625258246
0.0405,-1.14390883229
0.041,0.464644423767
0.0415,2.3050030051
0.042,0.844192081578
0.0425,-0.108591835096
0.043,1.17829128449
0.0435,0.505424158571
0.044,-0.86730499889
0.0445,0.000161736379265
0.045,-0.0410716861143
0.0455,-1.56669711879
0.046,-1.25482112252
0.0465,0.387819357097
0.047,0.829887879628
0.0475,-0.312129104084
0.048,-0.687339763244
0.0485,0.958687976229
0.049,0.876738853426
0.0495,-1.21416014442
0.05,-0.455453898266
0.0505,0.605770911717
0.051,-1.13854864178
0.0515,-0.39756470876
0.052,2.18830828966
0.0525,1.16813407552
0.053,-0.427846335524
0.0535,-0.0685380631693
0.054,-0.716715267465
0.0545,-1.33560142285
0.055,0.186847038899
0.0555,1.25590090961
0.056,0.444717321554
0.0565,-0.117198419782
0.057,-0.119411245657
0.0575,-0.572653654603
0.058,-0.187240215665
0.0585,0.582804501622
0.059,-0.290727554074
0.0595,-0.618047836452
0.06,0.468794660796
0.0605,0.0116952940774
0.061,-0.819932042749
0.0615,-0.139825604047
0.062,-0.223759094455
0.0625,-0.712128176105
0.063,0.823541179614
0.0635,1.94748314021
0.064,0.652930996947
0.0645,0.158193730255
0.065,0.459182401581
0.0655,-0.79607389516
0.066,-0.844652675053
0.0665,0.151098813
0.067,-1.31757222364
0.0675,-1.64847175718
0.068,0.916211769382
0.0685,0.55946612969
0.069,-1.11263577436
0.0695,1.1489952592
0.07,1.76236436429
0.0705,-0.792524316912
0.071,0.880655290082
0.0715,2.01813788349
0.072,-1.94567603207
0.0725,-1.71687377676
0.073,0.801973420601
0.0735,-1.45687884155
0.074,-0.949811486259
0.0745,2.3936807974
0.075,0.666845620877
0.0755,-1.38565856595
0.076,0.101226126217
0.0765,0.723779620714
0.077,-0.247066753891
0.0775,-0.758373984634
0.078,0.24155170803
0.0785,1.53956759656
0.079,0.786215185899
0.0795,-0.469219704221
0.08,-0.597496194394
0.0805,-0.99197543253
0.081,-1.05878605762
0.0815,-0.123158253565
0.082,0.105461266877
0.0825,-0.15348425413
0.083,0.349266712299
0.0835,0.717436404679
0.084,0.541300086556
0.0845,0.884139204735
0.085,1.25888915558
0.0855,0.263458516044
0.086,-1.11572382264
0.0865,-0.923688858759
0.087,-0.290206405075
0.0875,-1.31032934708
0.088,-1.78138490873
0.0885,0.333161913179
0.089,1.31996606458
0.0895,-0.0304408902954
0.09,0.122509167469
0.0905,1.19370940486
0.091,1.14110424034
0.0915,0.922505776344
0.092,-0.226040146709
0.0925,-0.938752118395
0.093,0.582135731988
0.0935,0.166759605178
0.094,-1.65135682523
0.0945,-0.662424565826
0.095,-0.0813469877562
0.0955,-0.729804349243
0.096,0.290135771047
0.0965,0.419051646822
0.097,-0.712942153837
0.0975,-0.0843930332823
0.098,0.866026731721
0.0985,0.399085134063
0.099,0.117068581774
0.0995,0.69262888752
0.1,0.690398235031
0.1005,0.264640421422
0.101,0.37716822577
0.1015,-0.532904901068
0.102,-1.87438961167
0.1025,-0.731342086481
0.103,0.69532277416
0.1035,-0.406262870823
0.104,-0.903941560909
0.1045,1.1893514758
0.105,1.75990819265
0.1055,-0.35350589704
0.106,-0.15031283329
0.1065,1.36165437525
0.107,-0.307712723427
0.1075,-1.88615378944
0.108,-1.45158959174
0.1085,-1.0705336581
0.109,0.500416443746
0.1095,1.60594482124
0.11,0.080663988889
0.1105,-0.294378717158
0.111,1.20278878979
0.1115,1.42961990072
0.112,0.738699599214
0.1125,0.319293836262
0.113,-0.529047937642
0.1135,-1.50538758415
0.114,-1.12873829357
0.1145,-0.204608489959
0.115,-0.492421625683
0.1155,-0.684037796407
0.116,0.108016894285
0.1165,0.429317888826
0.117,0.384173650915
0.1175,0.324937576887
0.118,0.115216295455
0.1185,0.273768252484
0.119,-0.111552043176
0.1195,-0.509949693444
0.12,0.73312641688
0.1205,1.15886624646
0.121,-0.0327670854911
0.1215,-0.151002053678
0.122,-0.0503049111896
0.1225,-0.545366204465
0.123,-0.260014081598
0.1235,-0.130690573264
0.124,-0.542999908444
0.1245,-0.149916055124
0.125,0.611924543819
0.1255,0.532751702059
0.126,-0.30002509279
0.1265,-0.669250512986
0.127,0.0111110048545
0.1275,0.275608661855
0.128,-0.17689911907
0.1285,0.335142438538
0.129,0.396651245416
0.1295,-0.660254227884
0.13,0.260883725279
0.1305,1.09089162711
0.131,-0.399318035251
0.1315,-0.483577385681
0.132,-0.171677892441
0.1325,-0.764951236902
0.133,0.516528417805
0.1335,0.64765860433
0.134,-0.952995626766
0.1345,-0.0368142881604
0.135,0.663421135583
0.1355,-0.355570101741
0.136,-0.00887955104505
0.1365,0.559097776859
0.137,0.324877939967
0.1375,-0.0986414269084
0.138,-0.887215930039
0.1385,-0.687778544911
0.139,0.187403533129
0.1395,0.467705293538
0.14,1.02963125487
0.1405,0.768118771876
0.141,-0.541808599172
0.1415,0.331790281552
0.142,1.70431034137
0.1425,-0.5208315974
0.143,-3.11420675203
0.1435,-1.77358108756
0.144,0.608475656498
0.1445,0.52062978901
0.145,0.127119782873
0.1455,0.964144462888
0.146,0.238536135427
0.1465,-0.927587829135
0.147,1.26299080219
0.1475,2.72419510915
0.148,-0.343258101732
0.1485,-2.09468052039
0.149,-0.293648773265
0.1495,0.124935064258
0.15,-0.825285707411
0.1505,-1.15984426965
0.151,-1.15951992683
0.1515,0.351440309008
0.152,1.46189192725
0.1525,0.351196798183
0.153,1.09591745809
0.1535,2.4996617129
0.154,-0.0355987347408
0.1545,-1.92767731873
0.155,-0.193273846044
0.1555,-0.0477545577938
0.156,-1.25800045394
0.1565,0.118618369345
0.157,1.2151676507
0.1575,-0.643013945278
0.158,-1.89248522531
0.1585,-0.28536450444
0.159,1.1175223164
0.1595,0.312576788275
0.16,-0.157855265162
0.1605,0.393069131724
0.161,0.226972955463
0.1615,0.722088709572
0.162,1.533610439
0.1625,0.261078222228
0.163,-0.624442596267
0.1635,-0.340712878866
0.164,-1.72289688787
0.1645,-2.37847351286
0.165,-0.339726919608
0.1655,1.07149823086
0.166,1.49404529607
0.1665,1.81218984904
0.167,0.0756871282218
0.1675,-1.70242936105
0.168,-0.236467851728
0.1685,1.03780415713
0.169,-0.207628838474
0.1695,-0.619642613458
0.17,-0.0359098108675
0.1705,-0.238077862141
0.171,0.165323680049
0.1715,1.1874848994
0.172,1.2069758038
0.1725,0.0207456859608
0.173,-1.6804880484
0.1735,-2.08980459964
0.174,-0.2611964213
0.1745,1.25195365826
0.175,0.256880301265
0.1755,-0.579519484731
0.176,0.598038038275
0.1765,0.982520172223
0.177,0.68010421406
0.1775,0.853084211803
