r_sobre_r0,delta_Lp_dB
1.0,0.0
1.0069788937520616,-0.060407356989428396
1.0140064924621257,-0.12081471397885576
1.0210831360369195,-0.1812220709682828
1.028209166755343,-0.24162942795771175
1.0353849292850241,-0.3020367849471381
1.0426107706989902,-0.36244414193656616
1.0498870404924534,-0.42285149892599305
1.0572140905997165,-0.48325885591542056
1.0645922754111943,-0.5436662129048482
1.0720219517905545,-0.6040735698942762
1.0795034790919784,-0.6644809268837032
1.0870372191775421,-0.7248882838731312
1.0946235364347188,-0.7852956408625599
1.1022627977940025,-0.8457029978519875
1.109955372746657,-0.906110354841415
1.1177016333625858,-0.9665177118308428
1.125501954308329,-1.0269250688202707
1.1333567128651842,-1.0873324258096972
1.1412662889474563,-1.1477397827991258
1.1492310651208302,-1.2081471397885544
1.1572514266208769,-1.2685544967779803
1.1653277613716857,-1.3289618537674084
1.1734604600046263,-1.3893692107568365
1.181649915877244,-1.4497765677462648
1.1898965250922837,-1.5101839247356916
1.19820068651685,-1.5705912817251189
1.2065628018016983,-1.630998638714546
1.214983275400662,-1.6914059957039744
1.223462514590215,-1.751813352693402
1.23200092948917,-1.8122207096828293
1.240598933078516,-1.872628066672257
1.249256941221392,-1.933035423661686
1.2579753726832015,-1.9934427806511121
1.2667546491518678,-2.0538501376405414
1.2755951952582285,-2.114257494629968
1.284497438596576,-2.1746648516193963
1.2934618097453368,-2.2350722086088246
1.3024887422878986,-2.2954795655982503
1.311578672833582,-2.355886922587679
1.3207320410387575,-2.416294279577106
1.3299492896281104,-2.4767016365665344
1.3392308644160549,-2.537108993555962
1.348577214328296,-2.597516350545389
1.3579887914235445,-2.6579237075348177
1.3674660509153798,-2.7183310645242456
1.3770094511942694,-2.7787384215136726
1.3866194538497387,-2.8391457785031005
1.3962965236926976,-2.899553135492528
1.4060411287779218,-2.959960492481954
1.4158537404266918,-3.0203678494713837
1.4257348332495885,-3.0807752064608094
1.4356848851694506,-3.141182563450238
1.4457043774444889,-3.2015899204396665
1.4557937946915642,-3.261997277429093
1.4659536249096272,-3.322404634418521
1.476184359503321,-3.382811991407949
1.4864864933067496,-3.4432193483973754
1.496860524607412,-3.5036267053868038
1.5073069551703022,-3.5640340623762308
1.5178262902621793,-3.6244414193656596
1.5284190386760046,-3.684848776355087
1.5390857127555526,-3.745256133344515
1.5498268284201895,-3.8056634903339415
1.5606429051898285,-3.866070847323369
1.571534466210057,-3.9264782043127977
1.5825020382774397,-3.986885561302226
1.593546151864999,-4.047292918291653
1.6046673411478714,-4.107700275281082
1.6158661440291453,-4.168107632270507
1.6271431021658782,-4.228514989259936
1.6384987609952937,-4.288922346249365
1.6499336697611644,-4.349329703238791
1.6614483815403767,-4.4097370602282195
1.6730434532696814,-4.4701444172176465
1.6847194457726327,-4.530551774207074
1.6964769237867119,-4.590959131196502
1.7083164559906436,-4.651366488185929
1.7202386150319007,-4.711773845175358
1.7322439775544018,-4.772181202164785
1.7443331242264024,-4.832588559154212
1.75650663976858,-4.89299591614364
1.7687651129823156,-4.953403273133067
1.7811091367781724,-5.013810630122495
1.7935393082045732,-5.074217987111922
1.806056228476679,-5.134625344101352
1.8186605030054668,-5.195032701090778
1.8313527414270128,-5.2554400580802065
1.8441335576319786,-5.3158474150696335
1.8570035697953033,-5.3762547720590605
1.8699634004061039,-5.4366621290484884
1.8830136762977816,-5.497069486037916
1.8961550286783428,-5.557476843027345
1.9093880931609262,-5.617884200016773
1.9227135097945476,-5.678291557006199
1.9361319230950573,-5.738698913995628
1.949643982076312,-5.799106270985055
1.963250340281569,-5.859513627974485
1.9769516558150926,-5.91992098496391
1.9907485913739884,-5.980328341953339
2.004641814280254,-6.0407356989427665
2.0186319965130552,-6.101143055932193
2.032719814741232,-6.161550412921621
2.046905950356021,-6.221957769911048
2.0611910895040184,-6.282365126900475
2.0755759231203634,-6.342772483889904
2.090061146962157,-6.403179840879332
2.1046474616421182,-6.46358719786876
2.119335572662464,-6.523994554858186
2.1341261904490403,-6.584401911847615
2.149020030385676,-6.644809268837042
2.1640178128487895,-6.70521662582647
2.17912026324223,-6.765623982815897
2.1943281120323617,-6.826031339805326
2.2096420947833977,-6.8864386967947535
2.2250629521929737,-6.9468460537841805
2.240591430127977,-7.007253410773609
2.2562282796606197,-7.067660767763036
2.271974257104768,-7.128068124752465
2.2878301240525207,-7.18847548174189
2.303796647411049,-7.248882838731319
2.3198745994396868,-7.309290195720748
2.336064757787282,-7.369697552710173
2.3523679055298152,-7.430104909699602
2.3687848312082678,-7.49051226668903
2.385316328866765,-7.550919623678457
2.401963198090984,-7.6113269806678865
2.4187262440468227,-7.6717343376573135
2.4356062775193483,-7.7321416946467405
2.45260411495201,-7.792549051636168
2.469720578486129,-7.852956408625595
2.486956496000664,-7.913363765615023
2.5043127011522515,-7.97377112260445
2.5217900334155314,-8.034178479593878
2.5393893381237462,-8.094585836583306
2.5571114665096295,-8.154993193572734
2.574957275746579,-8.215400550562162
2.592927628990112,-8.275807907551588
2.6110233954196187,-8.336215264541018
2.6292454502803992,-8.396622621530444
2.6475946749259975,-8.457029978519872
2.66607195686083,-8.5174373355093
2.6846781897831127,-8.57784469249873
2.703414273628086,-8.638252049488155
2.7222811146115427,-8.698659406477582
2.7412796252736604,-8.759066763467011
2.760410724523137,-8.819474120456439
2.7796753376816348,-8.879881477445865
2.7990743965285407,-8.940288834435293
2.818608839346029,-9.000696191424721
2.8382796109644466,-9.061103548414149
2.85808766280801,-9.121510905403577
2.878033952940825,-9.181918262393005
2.898119446113225,-9.24232561938243
2.9183451138084324,-9.302732976371859
2.93871193428955,-9.363140333361288
2.9592208926468717,-9.423547690350714
2.979872980845535,-9.483955047340142
3.000669197773495,-9.544362404329572
3.0216105492898397,-9.604769761318998
3.0426980482734423,-9.665177118308426
3.0639327146719473,-9.725584475297852
3.0853155755511086,-9.78599183228728
3.1068476651444605,-9.84639918927671
3.128530024903344,-9.906806546266136
3.150363703547279,-9.967213903255564
3.1723497571146866,-10.027621260244992
3.194489249013968,-10.08802861723442
3.2167832500749394,-10.148435974223846
3.2392328386006244,-10.208843331213275
3.2618391004194063,-10.269250688202703
3.2846031289375532,-10.32965804519213
3.307526025192097,-10.390065402181555
3.3306088979040918,-10.450472759170985
3.353852863532235,-10.510880116160411
3.3772590463268735,-10.57128747314984
3.4008285783843784,-10.631694830139269
3.424562599701897,-10.692102187128697
3.4484622582325,-10.752509544118123
3.4725287099406987,-10.812916901107549
3.4967631188583588,-10.873324258096979
3.5211666571409985,-10.933731615086407
3.545740505124487,-10.994138972075833
3.5704858513821325,-11.054546329065262
3.595403892782167,-11.11495368605469
