t_s,p_relative,level_relative_dB
0,-0.0613212302883,-8.83586345953
0.005,-0.0182266127751,-14.5812509055
0.01,0.155385676252,-15.0216489057
0.015,0.0684381335239,-22.0282422101
0.02,0.577164656508,-3.76223267569
0.025,1.17160488857,2.69494805385
0.03,-0.0446854983129,4.08038182207
0.035,-1.12062151147,1.83638413465
0.04,-0.425419232427,-5.33560071734
0.045,-0.147637994222,-15.3225077446
0.05,-0.0234423798548,-9.10137341364
0.055,0.359581546137,-8.8755633681
0.06,-0.178470722457,-14.9244357346
0.065,0.692343602532,0.430090464258
0.07,1.82447027298,6.52133772637
0.075,-0.836047908412,8.67975736734
0.08,-2.50765126644,8.06843515008
0.085,0.135979329881,5.10280241532
0.09,0.958766577714,-0.0982404826626
0.095,-0.415997978355,-6.5528865355
0.1,0.410398228417,-3.55823005864
0.105,0.517897162699,0.0561171862727
0.11,-1.12874445838,1.48785795713
0.115,-0.159053136165,2.37982507793
0.12,1.36063967948,2.68402627832
0.125,0.0321184337656,1.19132348384
0.13,-0.752749421547,-2.28160443532
0.135,0.531582364089,-2.75790232189
0.14,0.488842721423,0.0467068900351
0.145,-1.10209186731,1.80937485727
0.15,-0.605398290253,2.88614410692
0.155,1.22414171882,3.05932386435
0.16,0.748887608844,0.952621386814
0.165,-0.294038298799,-5.6647058747
0.17,-0.0301412919998,-20.0507816831
0.175,0.156530834478,-12.3152057822
0.18,0.892082096564,-0.848271385729
0.185,1.008121545,4.1251809662
0.19,-0.670851117239,4.28642343358
0.195,-0.795235203288,-1.77646801448
0.2,-0.170994590933,-3.80822052916
0.205,-1.44453452675,4.28806852911
0.21,-1.62098484105,5.7442301862
0.215,0.120528851987,3.87287447362
0.22,0.825367121413,-0.627636011929
0.225,0.353614128911,-7.77544145429
0.23,-0.123742597122,-17.2589280684
0.235,0.0612861532087,-6.33544998313
0.24,0.968322475239,-0.25071526345
0.245,0.389152270018,2.7214811691
0.25,-1.26593399692,3.17997908151
0.255,-0.706457501663,0.300978221292
0.26,0.0468092487681,-12.3723435636
0.265,-0.528065867491,-3.53910239543
0.27,0.404692144667,0.868761291927
0.275,0.885955383931,-0.694386529885
0.28,-0.375552724212,-5.82049186469
0.285,0.0311927813932,-3.16927134162
0.29,0.798786328292,-1.87425898732
0.295,-0.22239797439,-3.725289022
0.3,-0.568623401076,-2.43698469582
0.305,0.504381408406,0.200441646129
0.31,1.10503631771,0.869830466363
0.315,0.588462770808,-0.477267974079
0.32,-0.182694478794,-4.72908613705
0.325,-0.164340697763,-12.1853873616
0.33,0.664344987371,-2.99025951788
0.335,0.866458163821,1.22047960476
0.34,-0.158252513229,1.01874247961
0.345,-0.428178240005,-5.41823076052
0.35,0.0516303016985,-5.25958783963
0.355,-0.896370775057,1.85260372508
0.36,-1.17920242975,2.74018463859
0.365,0.633375646312,1.07472414962
0.37,0.731954055573,0.593467416938
0.375,-0.580016393058,-0.778081782694
0.38,-0.359286245313,-8.65912818045
0.385,-0.535073757475,-3.24356088615
0.39,-0.96416962512,0.117571980221
0.395,-0.120573059509,-3.4569120702
0.4,-0.0413452592474,-17.2071095435
0.405,-0.0655008365676,-9.98732468069
0.41,0.10917411047,-11.4492585833
0.415,-1.05913906687,0.602118348126
0.42,-0.743357409055,4.26160759684
0.425,0.804388907044,2.68460910456
0.43,0.462266583277,-5.24553784857
0.435,0.743272935788,0.740491679507
0.44,1.51672846517,3.86754512501
0.445,-0.0271741226354,1.4412990711
0.45,-0.441513064448,-4.85834895372
0.455,0.991654352946,-0.0095724247514
0.46,0.174220245628,1.65199589104
0.465,-0.962303084971,-0.314392140387
0.47,0.254901511105,-1.46992074658
0.475,0.837214909577,-0.973764058371
0.48,0.00409343122815,-4.07003986775
0.485,-0.0213477342777,-13.8920402801
0.49,0.0423452393648,-6.85618947957
0.495,-0.307524215973,-6.95803462634
0.5,-0.119704543916,-12.4708090073
0.505,-0.471077138974,-3.68209409597
0.51,-0.797309416069,-1.24963136149
0.515,0.204625785947,-3.22104562298
0.52,0.403412797539,-5.34921326217
0.525,-0.584610048244,-2.49300078779
0.53,-0.854580642518,-0.183837518084
0.535,-0.0415754484913,1.36647714798
0.54,1.0765255873,1.87776368392
0.545,0.768266176526,-0.199622105888
0.55,-0.144885424224,-9.35906492164
0.555,0.425521532978,-7.07822622634
0.56,0.558836017795,-0.230780448745
0.565,-0.439755075822,0.74121374102
0.57,-0.934900255354,0.0677438122226
0.575,-0.989782907351,0.422660420548
0.58,-0.305482803451,0.092629206507
0.585,0.405489005913,-2.92812922963
0.59,0.457586249608,-5.52869342882
0.595,0.748032155534,-2.19032407985
0.6,-0.111485781674,0.161268074636
0.605,-1.1248692987,1.10990877707
0.61,0.193120182972,0.362431999301
0.615,0.560887398994,-4.71976033362
0.62,-0.184476751081,-10.3727555891
0.625,1.02295804964,0.884563394205
0.63,0.692135136797,3.53285062853
0.635,-1.03622847234,1.51093326576
0.64,0.117092637743,-6.66399657503
0.645,0.036236024912,1.33179812826
0.65,-1.99247537558,5.98823101105
0.655,-0.249533570762,6.56457425384
0.66,1.44438136249,3.47003316699
0.665,0.0957036096588,-8.2720898915
0.67,0.440524776784,-3.44142457341
0.675,0.999671074685,1.17574156335
0.68,-0.135519459159,-0.361661921372
0.685,-0.434093496989,-5.79456708588
0.69,-0.356241199534,-8.95773539697
0.695,-0.0383088525222,-9.64026399367
0.7,0.486654558987,-5.9780662466
0.705,-0.0126694975205,-3.16332014575
0.71,-0.550409049046,-3.30696516696
0.715,-0.704828136271,-3.03765227015
0.72,-0.488096140012,-1.97497696928
0.725,0.43293284431,-2.85517576944
0.73,0.404395220875,-4.22096050421
0.735,-0.625656191607,-3.03221296244
0.74,-0.287504069281,-4.32755626977
0.745,0.157362881098,-14.09336474
0.75,-0.965198509081,-0.295625368992
0.755,-0.18901867585,4.35912723631
0.76,1.50792478375,3.88500797719
0.765,-0.0814479202737,-2.13756656895
0.77,-0.349758548018,2.04437766205
