t_sobre_T,p_Pa,p2_Pa2,media_p2_Pa2,rms_Pa
0.0,0.0,0.0,0.019983347210657785,0.14136246747513212
0.0016666666666666668,0.002094356823249159,4.386330503090308e-06,0.019983347210657785,0.14136246747513212
0.0033333333333333335,0.004188483976671392,1.7543398022832996e-05,0.019983347210657785,0.14136246747513212
0.005,0.006282151815625659,3.946543143456876e-05,0.019983347210657785,0.14136246747513212
0.006666666666666667,0.008375130745839926,7.014281500991323e-05,0.019983347210657785,0.14136246747513212
0.008333333333333333,0.010467191248588767,0.00010956209263453326,0.019983347210657785,0.14136246747513212
0.01,0.012558103905862676,0.0001577059737104434,0.019983347210657785,0.14136246747513212
0.011666666666666667,0.014647639425526339,0.00021455334074023356,0.019983347210657785,0.14136246747513212
0.013333333333333334,0.0167355686664631,0.00028007925858990147,0.019983347210657785,0.14136246747513212
0.015000000000000001,0.018821662663702866,0.0003542549854262265,0.019983347210657785,0.14136246747513212
0.016666666666666666,0.02090569265353069,0.00043704798532388713,0.019983347210657785,0.14136246747513212
0.018333333333333333,0.02298743009857332,0.0005284219425367945,0.019983347210657785,0.14136246747513212
0.02,0.02506664671286085,0.0006283367774273777,0.019983347210657785,0.14136246747513212
0.021666666666666667,0.027143114486860877,0.0007367486640468368,0.019983347210657785,0.14136246747513212
0.023333333333333334,0.029216605712482326,0.000853610049358655,0.019983347210657785,0.14136246747513212
0.025,0.03128689300804618,0.0009788696740969287,0.019983347210657785,0.14136246747513212
0.02666666666666667,0.03335374934322046,0.0011124725952503794,0.019983347210657785,0.14136246747513212
0.028333333333333335,0.03541694806391666,0.0012543602101621702,0.019983347210657785,0.14136246747513212
0.030000000000000002,0.037476262917144926,0.0014044702822349718,0.019983347210657785,0.14136246747513212
0.03166666666666667,0.039531468075825235,0.0015627369682299898,0.019983347210657785,0.14136246747513212
0.03333333333333333,0.04158233816355186,0.0017290908471479817,0.019983347210657785,0.14136246747513212
0.035,0.04362864827930851,0.0019034589506796097,0.019983347210657785,0.14136246747513212
0.03666666666666667,0.045670174022131145,0.0020857647952117423,0.019983347210657785,0.14136246747513212
0.03833333333333334,0.04770669151571619,0.002275928415375707,0.019983347210657785,0.14136246747513212
